scoring,cv_cycle,AdaBoostClassifier,CatBoostClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,LogisticRegression,MLPClassifier,RandomForestClassifier,SVC,XGBClassifier
accuracy,1,0.5833333333333334,0.75,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666
accuracy,2,0.5833333333333334,0.6666666666666666,0.9166666666666666,0.75,0.8333333333333334,0.6666666666666666,0.75,0.75,0.75,0.5833333333333334
accuracy,3,0.8333333333333334,0.75,0.9166666666666666,0.75,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666
accuracy,4,0.75,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.75,0.75,0.75,0.6666666666666666
accuracy,5,0.8333333333333334,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.9166666666666666
accuracy,6,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75
accuracy,7,1.0,0.8333333333333334,1.0,0.9166666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334
accuracy,8,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.75,1.0,0.8333333333333334,0.75,0.8333333333333334,1.0,0.6666666666666666
accuracy,9,0.75,0.75,0.8333333333333334,0.5,0.75,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334
accuracy,10,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.75,0.75,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.75
accuracy,11,0.8333333333333334,0.8333333333333334,0.75,0.75,0.75,0.75,0.8333333333333334,0.75,0.75,0.75
accuracy,12,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.75,0.8333333333333334,0.75,0.75,0.6666666666666666,0.5833333333333334,0.75
accuracy,13,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.75,0.9166666666666666,0.8333333333333334,0.6666666666666666
accuracy,14,0.5833333333333334,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.75,0.3333333333333333,0.5833333333333334,0.75,0.9166666666666666,0.4166666666666667
accuracy,15,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0
