scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
max_error,1,-259.5680801750233,-286.15383228680463,-83.70516051182162,-237.16070184469925,-226.54726856881706,-280.6536791482669,-1.3429257705865894e-12,-187.61278052213183,-277.73673339030427,-39.947661679198006,-338.2027368563599,-234.15528981966258
max_error,2,-406.908927201805,-432.49556199827884,-135.42917549059143,-436.24655900651777,-306.8459131287463,-444.6467465979851,-7.389644451905042e-13,-306.1733972494386,-382.93734771178896,-60.338114641130915,-444.4998165101384,-348.89052860862364
max_error,3,-97.58549844974581,-126.77962104614973,-29.167801196247808,-109.64116659082728,-274.02482384037114,-116.18615838693297,-1.0764722446765518e-12,-148.26396399240488,-124.37021205819997,-11.117012616677897,-148.2281480243934,-193.06187093846347
max_error,4,-165.27492452973917,-194.4281906734658,-77.18839293198809,-175.83568449687948,-230.89628724852238,-225.93683700980472,-5.684341886080801e-13,-177.8671660419052,-184.31575477175994,-25.17644408487385,-248.5415937799401,-320.6720501560477
max_error,5,-100.66546977418118,-105.00859304242681,-38.72699689311646,-164.55370390079344,-237.85085790594292,-162.40189183368193,-2.1316282072803006e-13,-133.22322229831934,-158.12852028608893,-19.237558355746152,-147.71655727868287,-185.03077118429212
max_error,6,-214.3870938433999,-177.9580447761773,-37.414742305513904,-156.64992862354075,-187.66729175215562,-131.5486635630357,-4.263256414560601e-13,-124.6495446321563,-209.51071296979234,-15.99695968068491,-179.10479344982275,-251.78852264913587
max_error,7,-288.20088850857695,-266.8038128048884,-75.78492564241697,-266.2541747074701,-227.51835756380916,-289.4149539939569,-6.252776074688882e-13,-230.79984356090029,-282.2100660941783,-40.80391733427149,-322.16323558931197,-192.93926015723258
max_error,8,-182.88064749715755,-197.20668431531874,-74.0024011219084,-170.16587201456778,-170.2617739885905,-202.56832955393767,-7.389644451905042e-13,-159.16619378224811,-189.03938804619045,-22.28832150385108,-240.2098950250966,-150.91157816435606
max_error,9,-150.9104644322672,-186.93042029443023,-46.73123004955464,-162.34407241704963,-221.21580600666772,-168.07505045730963,-1.0231815394945443e-12,-107.09641752396291,-187.0494716150523,-21.378999983329727,-194.8961278097656,-271.1766036924569
max_error,10,-399.9496347067957,-414.5659542234194,-109.65008504896053,-399.461706459294,-285.1098799513354,-444.6467465979851,-4.831690603168681e-13,-316.77357728952904,-394.12876386311046,-48.50699653496264,-444.5674335926716,-357.4794568312799
