scoring,cv_cycle,AdaBoostClassifier,ExtraTreesClassifier,KNeighborsClassifier,LogisticRegression,SVC
accuracy,1,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.5,0.75
accuracy,2,0.5833333333333334,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.75
accuracy,3,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334
accuracy,4,0.75,0.8333333333333334,0.75,0.75,0.75
accuracy,5,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,1.0
accuracy,6,0.8333333333333334,0.75,0.75,0.8333333333333334,0.75
accuracy,7,1.0,1.0,0.6666666666666666,0.5833333333333334,0.8333333333333334
accuracy,8,0.8333333333333334,0.9166666666666666,1.0,0.8333333333333334,1.0
accuracy,9,0.75,0.8333333333333334,0.75,0.5833333333333334,0.9166666666666666
accuracy,10,0.8333333333333334,0.9166666666666666,0.75,0.75,0.9166666666666666
accuracy,11,0.8333333333333334,0.75,0.75,0.75,0.75
accuracy,12,0.6666666666666666,0.5833333333333334,0.8333333333333334,0.75,0.5833333333333334
accuracy,13,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334
accuracy,14,0.5833333333333334,0.8333333333333334,0.75,0.3333333333333333,0.9166666666666666
accuracy,15,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334,0.8333333333333334
accuracy,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334
accuracy,17,0.8333333333333334,0.8333333333333334,0.75,0.75,0.8333333333333334
accuracy,18,0.75,0.6666666666666666,1.0,0.5833333333333334,0.9166666666666666
accuracy,19,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75,0.8333333333333334
accuracy,20,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334
accuracy,21,0.75,0.6666666666666666,0.75,0.5833333333333334,0.6666666666666666
accuracy,22,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.5833333333333334,1.0
accuracy,23,0.8333333333333334,0.75,0.75,0.75,0.8333333333333334
accuracy,24,0.5833333333333334,0.75,0.8333333333333334,0.9166666666666666,0.9166666666666666
accuracy,25,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334
accuracy,mean,0.78,0.807,0.767,0.673,0.827
