group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
XGBRegressor,GradientBoostingRegressor,0.0008664091975803256,-0.008373472556670442,0.010106290951831094,0.9,-0.1829537706356834,-0.1838201798332637
XGBRegressor,RandomForestRegressor,0.0029117756832228725,-0.006328106071027895,0.01215165743747364,0.9,-0.1829537706356834,-0.18586554631890628
XGBRegressor,ExtraTreesRegressor,0.005705520874886405,-0.003534360879364363,0.014945402629137173,0.5763917444943203,-0.1829537706356834,-0.18865929151056982
XGBRegressor,AdaBoostRegressor,0.006058947899834327,-0.0031809338544164407,0.015298829654085095,0.5045475680986856,-0.1829537706356834,-0.18901271853551774
XGBRegressor,Anova,0.006730626744434115,-0.002509255009816653,0.015970508498684883,0.35713917497682734,-0.1829537706356834,-0.18968439738011753
XGBRegressor,MutualInformation,0.011578743052733403,0.0023388612984826355,0.02081862480698417,0.0036876686443678697,-0.1829537706356834,-0.19453251368841684
XGBRegressor,NoFS,0.020255907777403104,0.011016026023152336,0.02949578953165387,0.001,-0.1829537706356834,-0.20320967841308646
XGBRegressor,LassoCV,0.03781291740768131,0.02857303565343054,0.04705279916193207,0.001,-0.1829537706356834,-0.22076668804336466
GradientBoostingRegressor,RandomForestRegressor,0.002045366485642547,-0.007194515268608221,0.011285248239893315,0.9,-0.1838201798332637,-0.18586554631890628
GradientBoostingRegressor,ExtraTreesRegressor,0.004839111677306079,-0.0044007700769446885,0.014078993431556847,0.7525174676991657,-0.1838201798332637,-0.18865929151056982
GradientBoostingRegressor,AdaBoostRegressor,0.0051925387022540015,-0.004047343051996766,0.01443242045650477,0.6806725160815206,-0.1838201798332637,-0.18901271853551774
GradientBoostingRegressor,Anova,0.005864217546853789,-0.0033756642073969785,0.015104099301104557,0.5441331630588132,-0.1838201798332637,-0.18968439738011753
GradientBoostingRegressor,MutualInformation,0.010712333855153078,0.00147245210090231,0.019952215609403846,0.010444538856231422,-0.1838201798332637,-0.19453251368841684
GradientBoostingRegressor,NoFS,0.019389498579822778,0.01014961682557201,0.028629380334073546,0.001,-0.1838201798332637,-0.20320967841308646
GradientBoostingRegressor,LassoCV,0.03694650821010098,0.027706626455850213,0.046186389964351746,0.001,-0.1838201798332637,-0.22076668804336466
RandomForestRegressor,ExtraTreesRegressor,0.0027937451916635325,-0.006446136562587235,0.0120336269459143,0.9,-0.18586554631890628,-0.18865929151056982
RandomForestRegressor,AdaBoostRegressor,0.0031471722166114546,-0.006092709537639313,0.012387053970862223,0.9,-0.18586554631890628,-0.18901271853551774
RandomForestRegressor,Anova,0.0038188510612112425,-0.005421030693039525,0.01305873281546201,0.9,-0.18586554631890628,-0.18968439738011753
RandomForestRegressor,MutualInformation,0.008666967369510531,-0.000572914384740237,0.0179068491237613,0.08547507704299628,-0.18586554631890628,-0.19453251368841684
RandomForestRegressor,NoFS,0.01734413209418023,0.008104250339929463,0.026584013848431,0.001,-0.18586554631890628,-0.20320967841308646
RandomForestRegressor,LassoCV,0.034901141724458434,0.025661259970207666,0.0441410234787092,0.001,-0.18586554631890628,-0.22076668804336466
ExtraTreesRegressor,AdaBoostRegressor,0.0003534270249479221,-0.008886454729302846,0.00959330877919869,0.9,-0.18865929151056982,-0.18901271853551774
ExtraTreesRegressor,Anova,0.00102510586954771,-0.008214775884703058,0.010264987623798478,0.9,-0.18865929151056982,-0.18968439738011753
ExtraTreesRegressor,MutualInformation,0.005873222177846998,-0.0033666595764037695,0.015113103932097766,0.542300895297426,-0.18865929151056982,-0.19453251368841684
ExtraTreesRegressor,NoFS,0.014550386902516699,0.005310505148265931,0.023790268656767467,0.001,-0.18865929151056982,-0.20320967841308646
ExtraTreesRegressor,LassoCV,0.0321073965327949,0.022867514778544134,0.041347278287045666,0.001,-0.18865929151056982,-0.22076668804336466
AdaBoostRegressor,Anova,0.0006716788445997879,-0.00856820290965098,0.009911560598850556,0.9,-0.18901271853551774,-0.18968439738011753
AdaBoostRegressor,MutualInformation,0.005519795152899076,-0.0037200866013516916,0.014759676907149844,0.6141463456042585,-0.18901271853551774,-0.19453251368841684
AdaBoostRegressor,NoFS,0.014196959877568777,0.004957078123318009,0.023436841631819545,0.001,-0.18901271853551774,-0.20320967841308646
AdaBoostRegressor,LassoCV,0.03175396950784698,0.022514087753596212,0.040993851262097744,0.001,-0.18901271853551774,-0.22076668804336466
Anova,MutualInformation,0.004848116308299288,-0.0043917654459514795,0.014087998062550056,0.7506867588869736,-0.18968439738011753,-0.19453251368841684
Anova,NoFS,0.013525281032968989,0.004285399278718221,0.022765162787219757,0.001,-0.18968439738011753,-0.20320967841308646
Anova,LassoCV,0.031082290663247192,0.021842408908996424,0.040322172417497956,0.001,-0.18968439738011753,-0.22076668804336466
MutualInformation,NoFS,0.0086771647246697,-0.0005627170295810675,0.017917046478920468,0.084714792441822,-0.19453251368841684,-0.20320967841308646
MutualInformation,LassoCV,0.026234174354947903,0.016994292600697136,0.03547405610919867,0.001,-0.19453251368841684,-0.22076668804336466
NoFS,LassoCV,0.017557009630278203,0.008317127876027435,0.02679689138452897,0.001,-0.20320967841308646,-0.22076668804336466
