DummyRegressor,KNeighborsRegressor,SVR,ElasticNetCV,LinearRegression,Ridge,RandomForestRegressor,XGBRegressor,AdaBoostRegressor,ExtraTreesRegressor,CatBoostRegressor,GradientBoostingRegressor,MLPRegressor,CatBoostRegressor_opt
1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,1.0,0.9,0.6219509317669946,0.6003571982776184,0.45530912601076945,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.9,1.0,0.8374162362286091,0.8158231431230971,0.6731447061024749,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.6219509317669946,0.8374162362286091,1.0,0.9,0.9,0.2697924451220064,0.060222474093448275,0.009411387151104122,0.001,0.001,0.001,0.001,0.001
0.001,0.6003571982776184,0.8158231431230971,0.9,1.0,0.9,0.28943858751664964,0.06670076911342293,0.010656271438939324,0.001,0.001,0.001,0.001,0.001
0.001,0.45530912601076945,0.6731447061024749,0.9,0.9,1.0,0.4401464500043477,0.12436206834371122,0.02339619811378102,0.0014250618138379467,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.2697924451220064,0.28943858751664964,0.4401464500043477,1.0,0.9,0.9,0.8031617637654992,0.5387766304471808,0.36773360975555935,0.23022650093528163,0.05982206443874538
0.001,0.001,0.001,0.060222474093448275,0.06670076911342293,0.12436206834371122,0.9,1.0,0.9,0.9,0.9,0.754143427500795,0.6075824301965338,0.26855087836052427
0.001,0.001,0.001,0.009411387151104122,0.010656271438939324,0.02339619811378102,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.6310527995827033
0.001,0.001,0.001,0.001,0.001,0.0014250618138379467,0.8031617637654992,0.9,0.9,1.0,0.9,0.9,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.5387766304471808,0.9,0.9,0.9,1.0,0.9,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.36773360975555935,0.754143427500795,0.9,0.9,0.9,1.0,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.23022650093528163,0.6075824301965338,0.9,0.9,0.9,0.9,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.05982206443874538,0.26855087836052427,0.6310527995827033,0.9,0.9,0.9,0.9,1.0
