CatBoostRegressor,ExtraTreesRegressor,CatBoostRegressor_opt,GradientBoostingRegressor,XGBRegressor,RandomForestRegressor,MLPRegressor,SVR,KNeighborsRegressor,Ridge,AdaBoostRegressor,ElasticNetCV,LinearRegression,DummyRegressor
1.0,0.9,0.9,0.9,0.03930110558940514,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.11471439376058723,0.0033342512052276785,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.2828853188512682,0.014167271365751244,0.002869669266501562,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,1.0,0.6801029731098386,0.09624388191176547,0.026739011680231073,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.03930110558940514,0.11471439376058723,0.2828853188512682,0.6801029731098386,1.0,0.9,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.0033342512052276785,0.014167271365751244,0.09624388191176547,0.9,1.0,0.9,0.014316168809827001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.002869669266501562,0.026739011680231073,0.9,0.9,1.0,0.05720251795144593,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.014316168809827001,0.05720251795144593,1.0,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.9,0.9,0.7643548224315803,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,1.0,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,1.0,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.7643548224315803,0.9,0.9,1.0,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
