ExtraTreesRegressor,CatBoostRegressor,XGBRegressor,RandomForestRegressor,CatBoostRegressor_opt,GradientBoostingRegressor,SVR,MLPRegressor,KNeighborsRegressor,Ridge,ElasticNetCV,LinearRegression,AdaBoostRegressor,DummyRegressor
1.0,0.9,0.7157875845926641,0.6705394764280097,0.1812450548115978,0.16433513171868785,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.7789701688311369,0.7522774068143958,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.7157875845926641,0.9,1.0,0.9,0.9,0.9,0.01023910258096572,0.0019025600517504904,0.001,0.001,0.001,0.001,0.001,0.001
0.6705394764280097,0.9,0.9,1.0,0.9,0.9,0.013242600479400735,0.0025432351153237276,0.001,0.001,0.001,0.001,0.001,0.001
0.1812450548115978,0.7789701688311369,0.9,0.9,1.0,0.9,0.14907312535743333,0.04416278896408787,0.001,0.001,0.001,0.001,0.001,0.001
0.16433513171868785,0.7522774068143958,0.9,0.9,0.9,1.0,0.16569886277177825,0.05019482580573287,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.01023910258096572,0.013242600479400735,0.14907312535743333,0.16569886277177825,1.0,0.9,0.06207688704455794,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.0019025600517504904,0.0025432351153237276,0.04416278896408787,0.05019482580573287,0.9,1.0,0.19488291633860055,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.06207688704455794,0.19488291633860055,1.0,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.9,0.30583961244088276,0.003234686602503145,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,1.0,0.7124365320993664,0.030746312789227015,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.30583961244088276,0.7124365320993664,1.0,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003234686602503145,0.030746312789227015,0.9,1.0,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
