CatBoostRegressor_opt,CatBoostRegressor,GradientBoostingRegressor,ExtraTreesRegressor,MLPRegressor,XGBRegressor,RandomForestRegressor,SVR,AdaBoostRegressor,Ridge,ElasticNetCV,LinearRegression,KNeighborsRegressor,DummyRegressor
1.0,0.9,0.9,0.8713057527457043,0.7707245958468592,0.0012459939200790693,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.9,0.018230353921920628,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.9,0.06151619447369805,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.8713057527457043,0.9,0.9,1.0,0.9,0.3417963408224225,0.013268169718683276,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.7707245958468592,0.9,0.9,0.9,1.0,0.453210245883224,0.02297509415735166,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.0012459939200790693,0.018230353921920628,0.06151619447369805,0.3417963408224225,0.453210245883224,1.0,0.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.013268169718683276,0.02297509415735166,0.9,1.0,0.016758137942191498,0.004427467910845695,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.016758137942191498,1.0,0.9,0.05736235946106516,0.013831766340679508,0.0017342384919688536,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.004427467910845695,0.9,1.0,0.1538443673512362,0.04591079358181904,0.007191998181019454,0.0010705274073793403,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.05736235946106516,0.1538443673512362,1.0,0.9,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.013831766340679508,0.04591079358181904,0.9,1.0,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0017342384919688536,0.007191998181019454,0.9,0.9,1.0,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0010705274073793403,0.9,0.9,0.9,1.0,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
