group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
ExtraTreesRegressor,CatBoostRegressor,0.006409810160655033,-0.015930954127742643,0.02875057444905271,0.9,-0.06989347899579937,-0.0763032891564544
ExtraTreesRegressor,XGBRegressor,0.013445735875895523,-0.008895028412502153,0.0357865001642932,0.7157875845926641,-0.06989347899579937,-0.0833392148716949
ExtraTreesRegressor,RandomForestRegressor,0.013919499303746613,-0.008421264984651063,0.03626026359214429,0.6705394764280097,-0.06989347899579937,-0.08381297829954598
ExtraTreesRegressor,CatBoostRegressor_opt,0.019194010458221195,-0.0031467538301764818,0.041534774746618874,0.1812450548115978,-0.06989347899579937,-0.08908748945402056
ExtraTreesRegressor,GradientBoostingRegressor,0.01947349516966186,-0.002867269118735815,0.04181425945805954,0.16433513171868785,-0.06989347899579937,-0.0893669741654612
ExtraTreesRegressor,SVR,0.03892476386094644,0.016583999572548764,0.06126552814934412,0.001,-0.06989347899579937,-0.10881824285674582
ExtraTreesRegressor,MLPRegressor,0.04180588746739633,0.019465123178998654,0.06414665175579401,0.001,-0.06989347899579937,-0.11169936646319573
ExtraTreesRegressor,KNeighborsRegressor,0.060796569401871614,0.038455805113473934,0.0831373336902693,0.001,-0.06989347899579937,-0.13069004839767098
ExtraTreesRegressor,Ridge,0.11675864599138022,0.09441788170298254,0.1390994102797779,0.001,-0.06989347899579937,-0.1866521249871796
ExtraTreesRegressor,ElasticNetCV,0.12087994015871154,0.09853917587031386,0.14322070444710921,0.001,-0.06989347899579937,-0.1907734191545109
ExtraTreesRegressor,LinearRegression,0.13436078270398766,0.11202001841558998,0.15670154699238534,0.001,-0.06989347899579937,-0.204254261699787
ExtraTreesRegressor,AdaBoostRegressor,0.1442461705676212,0.12190540627922353,0.1665869348560189,0.001,-0.06989347899579937,-0.21413964956342058
ExtraTreesRegressor,DummyRegressor,0.5572550326254998,0.5349142683371021,0.5795957969138975,0.001,-0.06989347899579937,-0.6271485116212991
CatBoostRegressor,XGBRegressor,0.00703592571524049,-0.015304838573157186,0.029376690003638167,0.9,-0.0763032891564544,-0.0833392148716949
CatBoostRegressor,RandomForestRegressor,0.00750968914309158,-0.014831075145306096,0.029850453431489257,0.9,-0.0763032891564544,-0.08381297829954598
CatBoostRegressor,CatBoostRegressor_opt,0.012784200297566162,-0.009556563990831515,0.03512496458596384,0.7789701688311369,-0.0763032891564544,-0.08908748945402056
CatBoostRegressor,GradientBoostingRegressor,0.013063685009006828,-0.009277079279390848,0.03540444929740451,0.7522774068143958,-0.0763032891564544,-0.0893669741654612
CatBoostRegressor,SVR,0.03251495370029141,0.010174189411893731,0.05485571798868909,0.001,-0.0763032891564544,-0.10881824285674582
CatBoostRegressor,MLPRegressor,0.0353960773067413,0.01305531301834362,0.05773684159513898,0.001,-0.0763032891564544,-0.11169936646319573
CatBoostRegressor,KNeighborsRegressor,0.05438675924121658,0.0320459949528189,0.07672752352961426,0.001,-0.0763032891564544,-0.13069004839767098
CatBoostRegressor,Ridge,0.11034883583072519,0.08800807154232751,0.13268960011912287,0.001,-0.0763032891564544,-0.1866521249871796
CatBoostRegressor,ElasticNetCV,0.1144701299980565,0.09212936570965882,0.13681089428645418,0.001,-0.0763032891564544,-0.1907734191545109
CatBoostRegressor,LinearRegression,0.12795097254333263,0.10561020825493495,0.1502917368317303,0.001,-0.0763032891564544,-0.204254261699787
CatBoostRegressor,AdaBoostRegressor,0.13783636040696617,0.1154955961185685,0.16017712469536385,0.001,-0.0763032891564544,-0.21413964956342058
CatBoostRegressor,DummyRegressor,0.5508452224648448,0.5285044581764471,0.5731859867532425,0.001,-0.0763032891564544,-0.6271485116212991
XGBRegressor,RandomForestRegressor,0.00047376342785108994,-0.021867000860546586,0.022814527716248766,0.9,-0.0833392148716949,-0.08381297829954598
XGBRegressor,CatBoostRegressor_opt,0.0057482745823256715,-0.016592489706072005,0.028089038870723348,0.9,-0.0833392148716949,-0.08908748945402056
XGBRegressor,GradientBoostingRegressor,0.006027759293766338,-0.016313004994631338,0.028368523582164015,0.9,-0.0833392148716949,-0.0893669741654612
XGBRegressor,SVR,0.025479027985050917,0.003138263696653241,0.0478197922734486,0.01023910258096572,-0.0833392148716949,-0.10881824285674582
XGBRegressor,MLPRegressor,0.028360151591500807,0.0060193873031031304,0.05070091587989849,0.0019025600517504904,-0.0833392148716949,-0.11169936646319573
XGBRegressor,KNeighborsRegressor,0.04735083352597609,0.025010069237578415,0.06969159781437377,0.001,-0.0833392148716949,-0.13069004839767098
XGBRegressor,Ridge,0.1033129101154847,0.08097214582708702,0.12565367440388236,0.001,-0.0833392148716949,-0.1866521249871796
XGBRegressor,ElasticNetCV,0.10743420428281601,0.08509343999441833,0.12977496857121368,0.001,-0.0833392148716949,-0.1907734191545109
XGBRegressor,LinearRegression,0.12091504682809213,0.09857428253969445,0.1432558111164898,0.001,-0.0833392148716949,-0.204254261699787
XGBRegressor,AdaBoostRegressor,0.1308004346917257,0.10845967040332802,0.15314119898012338,0.001,-0.0833392148716949,-0.21413964956342058
XGBRegressor,DummyRegressor,0.5438092967496042,0.5214685324612065,0.5661500610380019,0.001,-0.0833392148716949,-0.6271485116212991
RandomForestRegressor,CatBoostRegressor_opt,0.0052745111544745815,-0.017066253133923095,0.027615275442872258,0.9,-0.08381297829954598,-0.08908748945402056
RandomForestRegressor,GradientBoostingRegressor,0.005553995865915248,-0.016786768422482428,0.027894760154312925,0.9,-0.08381297829954598,-0.0893669741654612
RandomForestRegressor,SVR,0.025005264557199827,0.002664500268802151,0.04734602884559751,0.013242600479400735,-0.08381297829954598,-0.10881824285674582
RandomForestRegressor,MLPRegressor,0.027886388163649717,0.0055456238752520405,0.0502271524520474,0.0025432351153237276,-0.08381297829954598,-0.11169936646319573
RandomForestRegressor,KNeighborsRegressor,0.046877070098125,0.024536305809727325,0.06921783438652268,0.001,-0.08381297829954598,-0.13069004839767098
RandomForestRegressor,Ridge,0.10283914668763361,0.08049838239923593,0.1251799109760313,0.001,-0.08381297829954598,-0.1866521249871796
RandomForestRegressor,ElasticNetCV,0.10696044085496492,0.08461967656656724,0.1293012051433626,0.001,-0.08381297829954598,-0.1907734191545109
RandomForestRegressor,LinearRegression,0.12044128340024104,0.09810051911184337,0.14278204768863872,0.001,-0.08381297829954598,-0.204254261699787
RandomForestRegressor,AdaBoostRegressor,0.1303266712638746,0.10798590697547691,0.15266743555227227,0.001,-0.08381297829954598,-0.21413964956342058
RandomForestRegressor,DummyRegressor,0.5433355333217531,0.5209947690333554,0.5656762976101508,0.001,-0.08381297829954598,-0.6271485116212991
CatBoostRegressor_opt,GradientBoostingRegressor,0.0002794847114406668,-0.02206127957695701,0.022620248999838343,0.9,-0.08908748945402056,-0.0893669741654612
CatBoostRegressor_opt,SVR,0.019730753402725246,-0.0026100108856724306,0.042071517691122925,0.14907312535743333,-0.08908748945402056,-0.10881824285674582
CatBoostRegressor_opt,MLPRegressor,0.022611877009175135,0.000271112720777459,0.044952641297572815,0.04416278896408787,-0.08908748945402056,-0.11169936646319573
CatBoostRegressor_opt,KNeighborsRegressor,0.04160255894365042,0.019261794655252743,0.0639433232320481,0.001,-0.08908748945402056,-0.13069004839767098
CatBoostRegressor_opt,Ridge,0.09756463553315903,0.07522387124476135,0.11990539982155671,0.001,-0.08908748945402056,-0.1866521249871796
