ECFP2,ECFP4,ECFP6,FCFP6,FCFP2,FCFP4,pubchem,avalon,MACCS,RDK6,mordred,RDK5,rdkdes,RDK7
1.0,0.9,0.9,0.28484867632030875,0.012450697394882138,0.0019129382443786591,0.0018850931147708083,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.703293946968768,0.09543079735951976,0.021383882366826867,0.021133214125168776,0.0018688928110014436,0.0015179335664146087,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.51210471108103,0.2075603492557775,0.20589265790551303,0.03482759987179018,0.029536613094288455,0.005376896990857416,0.002205518366411252,0.002069779054468479,0.001,0.001
0.28484867632030875,0.703293946968768,0.9,1.0,0.9,0.9,0.9,0.5850775587123281,0.5529986344832816,0.24376833730889025,0.14378639091030931,0.13798067516559498,0.03571226313897091,0.01896759837153772
0.012450697394882138,0.09543079735951976,0.51210471108103,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.8021110259281166,0.7920876359311254,0.49284954436227935,0.3601427867259229
0.0019129382443786591,0.021383882366826867,0.2075603492557775,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.8017155850285821,0.6809510294766641
0.0018850931147708083,0.021133214125168776,0.20589265790551303,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.8039331481967866,0.6831708820668272
0.001,0.0018688928110014436,0.03482759987179018,0.5850775587123281,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9
0.001,0.0015179335664146087,0.029536613094288455,0.5529986344832816,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9
0.001,0.001,0.005376896990857416,0.24376833730889025,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9
0.001,0.001,0.002205518366411252,0.14378639091030931,0.8021110259281166,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9
0.001,0.001,0.002069779054468479,0.13798067516559498,0.7920876359311254,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9
0.001,0.001,0.001,0.03571226313897091,0.49284954436227935,0.8017155850285821,0.8039331481967866,0.9,0.9,0.9,0.9,0.9,1.0,0.9
0.001,0.001,0.001,0.01896759837153772,0.3601427867259229,0.6809510294766641,0.6831708820668272,0.9,0.9,0.9,0.9,0.9,0.9,1.0
