group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
ECFP2,ECFP4,-0.161527217531237,-1.0082590300363665,0.6852045949738925,0.9,-2.9763509255196294,-2.814823707988393
ECFP2,ECFP6,-0.3616197938043002,-1.2083516063094297,0.4851120187008293,0.9,-2.9763509255196294,-2.6147311317153297
ECFP2,FCFP6,-0.6760892407161307,-1.5228210532212603,0.17064257178899878,0.28484867632030875,-2.9763509255196294,-2.300261684803499
ECFP2,FCFP2,-0.9520519528949949,-1.7987837654001244,-0.10532014038986537,0.012450697394882138,-2.9763509255196294,-2.0242989726246354
ECFP2,FCFP4,-1.0745619430612838,-1.9212937555664134,-0.2278301305561543,0.0019129382443786591,-2.9763509255196294,-1.9017889824583463
ECFP2,pubchem,-1.0754425615076628,-1.9221743740127923,-0.2287107490025333,0.0018850931147708083,-2.9763509255196294,-1.900908364011967
ECFP2,avalon,-1.2375636271876151,-2.0842954396927444,-0.3908318146824856,0.001,-2.9763509255196294,-1.7387872983320147
ECFP2,MACCS,-1.2502941105498127,-2.097025923054942,-0.40356229804468313,0.001,-2.9763509255196294,-1.7260568149698172
ECFP2,RDK6,-1.3706694302151685,-2.217401242720298,-0.523937617710039,0.001,-2.9763509255196294,-1.6056814953044614
ECFP2,mordred,-1.4274002372744754,-2.274132049779605,-0.5806684247693459,0.001,-2.9763509255196294,-1.5489506882451545
ECFP2,RDK5,-1.4313765245864383,-2.2781083370915676,-0.5846447120813087,0.001,-2.9763509255196294,-1.5449744009331914
ECFP2,rdkdes,-1.5500670278052229,-2.3967988403103524,-0.7033352153000934,0.001,-2.9763509255196294,-1.426283897714407
ECFP2,RDK7,-1.5979899893523344,-2.444721801857464,-0.7512581768472049,0.001,-2.9763509255196294,-1.3783609361672955
ECFP4,ECFP6,-0.2000925762730632,-1.0468243887781927,0.6466392362320663,0.9,-2.814823707988393,-2.6147311317153297
ECFP4,FCFP6,-0.5145620231848937,-1.3612938356900233,0.3321697893202358,0.703293946968768,-2.814823707988393,-2.300261684803499
ECFP4,FCFP2,-0.7905247353637579,-1.6372565478688874,0.05620707714137163,0.09543079735951976,-2.814823707988393,-2.0242989726246354
