group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
mordred,rdkdes,0.00015749737771730832,-0.06693250376197883,0.06724749851741345,0.9,0.8920635805760577,0.8919060831983404
mordred,pubchem,0.046788594110201975,-0.020301407029494165,0.11387859524989812,0.5119061039685047,0.8920635805760577,0.8452749864658557
mordred,MACCS,0.06391131007396589,-0.003178691065730252,0.13100131121366204,0.08049998978867867,0.8920635805760577,0.8281522705020918
mordred,RDK7,0.07062915890084931,0.0035391577611531694,0.13771916004054546,0.028497605683643568,0.8920635805760577,0.8214344216752086
mordred,RDK6,0.07747411542577143,0.010384114286075288,0.14456411656546758,0.00858366085150808,0.8920635805760577,0.8145894651502864
mordred,avalon,0.08564691658157564,0.0185569154418795,0.1527369177212718,0.001722381638431747,0.8920635805760577,0.8064166639944821
mordred,FCFP4,0.09547689736423337,0.02838689622453723,0.16256689850392952,0.001,0.8920635805760577,0.7965866832118245
mordred,FCFP2,0.10216193582356914,0.035071934683873,0.1692519369632653,0.001,0.8920635805760577,0.7899016447524886
mordred,RDK5,0.1033271974230695,0.036237196283373366,0.17041719856276566,0.001,0.8920635805760577,0.7887363831529882
mordred,FCFP6,0.11434752979171481,0.04725752865201867,0.18143753093141096,0.001,0.8920635805760577,0.7777160507843429
mordred,ECFP6,0.16129343422626674,0.0942034330865706,0.2283834353659629,0.001,0.8920635805760577,0.730770146349791
mordred,ECFP2,0.18313472225991134,0.1160447211202152,0.2502247233996075,0.001,0.8920635805760577,0.7089288583161464
mordred,ECFP4,0.20760493369205668,0.14051493255236053,0.27469493483175283,0.001,0.8920635805760577,0.684458646884001
rdkdes,pubchem,0.04663109673248467,-0.020458904407211473,0.1137210978721808,0.5169176808722493,0.8919060831983404,0.8452749864658557
rdkdes,MACCS,0.06375381269624858,-0.0033361884434475603,0.13084381383594473,0.08230854717460734,0.8919060831983404,0.8281522705020918
rdkdes,RDK7,0.070471661523132,0.003381660383435861,0.13756166266282815,0.029251419961862535,0.8919060831983404,0.8214344216752086
rdkdes,RDK6,0.07731661804805412,0.01022661690835798,0.14440661918775027,0.00883539449969406,0.8919060831983404,0.8145894651502864
rdkdes,avalon,0.08548941920385833,0.01839941806416219,0.15257942034355448,0.0017792888184920974,0.8919060831983404,0.8064166639944821
rdkdes,FCFP4,0.09531939998651606,0.028229398846819923,0.16240940112621222,0.001,0.8919060831983404,0.7965866832118245
rdkdes,FCFP2,0.10200443844585183,0.03491443730615569,0.16909443958554798,0.001,0.8919060831983404,0.7899016447524886
rdkdes,RDK5,0.1031697000453522,0.03607969890565606,0.17025970118504835,0.001,0.8919060831983404,0.7887363831529882
rdkdes,FCFP6,0.1141900324139975,0.04710003127430136,0.18128003355369365,0.001,0.8919060831983404,0.7777160507843429
rdkdes,ECFP6,0.16113593684854943,0.09404593570885329,0.2282259379882456,0.001,0.8919060831983404,0.730770146349791
rdkdes,ECFP2,0.18297722488219403,0.1158872237424979,0.2500672260218902,0.001,0.8919060831983404,0.7089288583161464
rdkdes,ECFP4,0.20744743631433937,0.14035743517464322,0.2745374374540355,0.001,0.8919060831983404,0.684458646884001
pubchem,MACCS,0.017122715963763913,-0.04996728517593223,0.08421271710346005,0.9,0.8452749864658557,0.8281522705020918
pubchem,RDK7,0.023840564790647334,-0.043249436349048806,0.09093056593034347,0.9,0.8452749864658557,0.8214344216752086
pubchem,RDK6,0.030685521315569453,-0.03640447982412669,0.09777552245526559,0.9,0.8452749864658557,0.8145894651502864
pubchem,avalon,0.03885832247137366,-0.028231678668322477,0.1059483236110698,0.7641174160092575,0.8452749864658557,0.8064166639944821
pubchem,FCFP4,0.048688303254031395,-0.018401697885664745,0.11577830439372754,0.44851552379812354,0.8452749864658557,0.7965866832118245
pubchem,FCFP2,0.055373341713367163,-0.011716659426328976,0.1224633428530633,0.23525610428864685,0.8452749864658557,0.7899016447524886
