scoring,cv_cycle,ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
max_error,1,-3.3360016798638594,-4.969525416231775,-1.2795641527394666,-1.4958468641826719,-1.0264601213397893,-3.3710791579603017,-1.5639196204765724,-1.268069658751844,-1.6735589643035644,-1.1414832120834628,-0.6008860428537217,-2.5147586768575843,-2.3204176574543673,-1.5284191796865798
max_error,2,-1.43820954669373,-1.4336878811719305,-2.3120965097833466,-1.7648410352698547,-1.8729005245518637,-2.5140824427272017,-1.9185411396874499,-1.6420141283501395,-2.243224664504522,-0.6940763078212561,-0.9924990028449885,-1.2991237914773275,-3.0124123779076184,-1.5482120325027409
max_error,3,-3.050955122438846,-1.6101678046802528,-2.3363889204670376,-3.46058047904992,-1.2767733133158816,-1.8366320817305608,-1.6021702645281515,-1.7922484990716052,-1.0163538889579258,-1.9179473781228282,-3.438926248441547,-1.1746446934771564,-1.026809508973819,-1.0501135774669559
max_error,4,-4.079503766881313,-1.5456111320012722,-1.9540881291147476,-1.5439391451781144,-3.7030329559292596,-1.576578924660349,-1.3242583341644745,-0.9845492106591645,-1.1120670274118805,-1.4458665977700456,-0.9158746003350355,-0.873356379387318,-1.7101865481357772,-1.1914985287266577
max_error,5,-1.451576007854181,-1.5915284409154618,-4.661906076837951,-2.290016722311966,-1.5481691176444643,-1.4997438181745,-0.7890990954218371,-1.3263273529365882,-2.226855463715129,-1.1483235804023177,-2.355279756218807,-1.815116441963195,-1.5138510405682504,-1.4281544653550615
max_error,6,-2.071763661725813,-1.4694632675695973,-1.8863095909395762,-1.7272753774449323,-1.8970118630196935,-1.7694149333696476,-1.389412091085754,-1.6387065260267035,-2.220327636939865,-1.179196269354722,-0.9886282896122972,-1.6838229846491832,-1.1296400510576192,-2.1936515009465745
max_error,7,-5.369689130301933,-1.8704115866243647,-2.5107792990903444,-1.6993513619402958,-3.650299698262034,-1.689314135832904,-1.5941879445822082,-1.028342461151523,-1.153104902490847,-1.013128772336108,-2.50665134816592,-1.795531661187153,-3.0906899463665773,-1.549694545788575
max_error,8,-4.204277633604982,-4.77050667727667,-2.706523070830685,-3.660949518848704,-1.6445389834750388,-1.265329424294942,-2.589895962431519,-1.0686710025449184,-1.8282900030031206,-1.8914563395485615,-1.440530416907872,-1.7222122760508238,-0.8854463247742697,-1.418583151509666
max_error,9,-1.691703713168626,-4.362832863008528,-4.782128367684055,-2.532872648400045,-1.2626591664467701,-4.07113753693493,-1.815498817246836,-1.9233896385697409,-2.19791177596798,-0.9838686416946147,-1.2004456264516996,-1.2704618679511683,-2.279799269532292,-1.26705468829425
max_error,10,-1.966436833138495,-1.6784261161086413,-2.065219034184178,-1.9023766537873854,-1.2420643693093274,-4.141582493533724,-3.8002163325587603,-1.8294734127312875,-1.2398102555413903,-2.232822301022706,-3.180511178217876,-1.1136535767177744,-3.1070418078192947,-1.0436633442233205
