scoring,cv_cycle,AdaBoostRegressor,Anova,ExtraTreesRegressor,GradientBoostingRegressor,LassoCV,MutualInformation,NoFS,RandomForestRegressor,XGBRegressor
max_error,1,-2.5703919385839455,-2.414415935511021,-2.7198136723931765,-2.535227763804124,-2.7950837329056064,-2.177057755747221,-3.0804805449314867,-2.5147586768575847,-2.770921367246987
max_error,2,-1.3266413187828388,-1.514478352998723,-1.4734881610956179,-1.2204465513079765,-1.802736155576218,-1.6753700580194195,-1.633859686016021,-1.2991237914773275,-1.3778010316466776
max_error,3,-1.1168006663245489,-1.1193235398109715,-1.1159423691590649,-1.1868429168290322,-1.531618287303385,-1.2195362361324618,-1.0950051201222626,-1.1746446934771564,-1.1070212804390374
max_error,4,-0.8777519012347959,-1.2816197311024577,-0.9463896654684874,-0.9243600382210695,-0.939133153069396,-1.041426569792061,-0.8013634535067355,-0.873356379387318,-0.8124172806379655
max_error,5,-1.5399931869181056,-1.030762877736049,-1.6972436312367485,-1.738493913190002,-1.5553905178867855,-2.003993836379666,-1.8135819106673297,-1.8151164419631947,-1.7102481337440794
max_error,6,-1.702315387214607,-1.4727338999501933,-1.7427333810073913,-1.773944187024985,-1.8673685330376513,-1.7555038024695895,-1.8510348778884427,-1.6838229846491832,-1.829135295666097
max_error,7,-1.5805932437459909,-1.9307524782583783,-1.6090991132420611,-1.5059734083589276,-1.942404512504948,-1.7028095583098866,-2.1290451324901567,-1.795531661187154,-1.701821216119329
max_error,8,-1.6174480038517673,-1.314287041400873,-1.5021240756167584,-1.6299583352638196,-1.4253715018184927,-2.3746741758486207,-1.5657421018826208,-1.7222122760508238,-1.6370848026378364
max_error,9,-1.160183686689004,-1.0722472407344334,-1.1997173743112892,-1.091806012505459,-1.673497409658363,-1.5329707555641474,-1.4051885139271154,-1.2704618679511683,-1.1267361062401493
max_error,10,-1.0889710309588607,-1.2114734445779176,-1.1531352463300306,-1.2234896048946897,-1.307940844177296,-1.0943809040019101,-1.1346428437646061,-1.1136535767177744,-1.1513666339890336
max_error,11,-1.5282891346615077,-1.327577642963365,-1.6238722280903888,-1.728896590339592,-1.3212054367347734,-1.6086309511517976,-1.6198408323131162,-1.7062167379668067,-1.6149771483753748
max_error,12,-1.6430928827962226,-1.7964939943726943,-1.4819150787203665,-1.5577313283381038,-1.5643376156118278,-1.4991070310350558,-1.6096713113523808,-1.7472589478799403,-1.3542628821084075
max_error,13,-2.3314732185192675,-2.196512491498188,-2.307466906890737,-2.1592675963171932,-2.7143777903451127,-1.807365758468824,-2.63283955962415,-2.24551345694581,-2.2653323187669816
max_error,14,-1.105850875213376,-1.367189357600695,-1.2213568664834875,-1.1603657497241064,-0.9400954862549393,-1.0726113668046382,-1.2082223189510835,-1.1857765476234308,-1.2171434076711112
max_error,15,-2.5083604616239814,-2.3278319578172173,-2.3446857930667173,-2.140515103701626,-2.6314350733533596,-2.144910625549103,-2.6288861908619223,-2.1605680465679287,-2.336727037532231
max_error,16,-1.1307935110224367,-1.385993868226295,-1.1525370392146936,-1.196544275699501,-1.2877838652909335,-1.1178930445351645,-1.2555066900677385,-1.1931370960425802,-1.2773542542800542
max_error,17,-1.4866747266380496,-1.106501100338742,-1.6860857680854586,-1.7759728894161295,-1.5776802351843497,-2.2759179838079513,-1.6410121623950507,-1.6650444830285975,-1.6906113349580099
max_error,18,-2.420450024674424,-2.5529138872140957,-2.4823254476043033,-2.4189415023835754,-2.764315079973263,-2.2293358558266934,-2.581835900790399,-2.3384956498732237,-2.569247542363302
max_error,19,-1.201381950632228,-1.2885121174313439,-1.2941560715195255,-1.227547009676977,-1.486050510517698,-1.500329454270747,-1.4147858367775255,-1.2242438660401156,-1.288902252506564
max_error,20,-1.0377072820749629,-1.112951333582378,-1.1106365321360734,-1.0801279692538757,-1.51853575778101,-1.1070472894440497,-1.0897252921042884,-1.0646526112701515,-0.9710201932173707
max_error,21,-1.8064034252832823,-1.3937705607256783,-1.9267991094961512,-2.082384977493856,-1.5493564287233825,-2.472311980673661,-1.909737202206533,-2.006178592800898,-1.805571137122814
max_error,22,-1.0601790624076304,-1.449143732401893,-1.1533953363801774,-1.1897819343956888,-1.5323205304387804,-1.0590346661869852,-1.1833577101570671,-1.0756804293963689,-1.1457486889058686
max_error,23,-1.1081396676546662,-1.2296017210731354,-1.1659836948072733,-1.139038365612084,-1.0975019846036704,-1.1620563350500595,-1.2548824739473872,-1.1140177027879796,-1.1611200108695316
max_error,24,-1.2768600831847792,-1.1787020982594432,-1.7001826488034069,-1.4792361512038603,-1.6494390800198029,-1.5548703377864923,-1.8830519630614915,-1.2633354005771538,-1.705982656921678
max_error,25,-1.1780778821390918,-1.6537565748522338,-1.614482977280096,-1.3940826687858547,-1.7734760249347206,-1.6981539464122621,-1.7847639331110825,-1.470965287609194,-1.4043042077566166
max_error,mean,-1.4961929821132152,-1.5091818792175367,-1.5770227275375794,-1.5424390737496845,-1.6899382219082306,-1.635492011170739,-1.6883225425167194,-1.5489506882451545,-1.5613143288689244
max_error,median,-1.3266413187828388,-1.367189357600695,-1.5021240756167584,-1.4792361512038603,-1.5553905178867855,-1.6086309511517976,-1.6198408323131162,-1.470965287609194,-1.4043042077566166
max_error,std,0.48259234155788466,0.4347237762843928,0.4628037659471624,0.43738876394324594,0.5140436555761556,0.44925794727100204,0.5548430332335873,0.4430424403199805,0.48889679230084593
neg_mean_absolute_error,1,-0.22231592825488633,-0.2250941423209741,-0.2238938832808628,-0.22082617768069876,-0.2709697300268781,-0.23318045506266294,-0.25221474959343615,-0.21871198482089824,-0.2246988054447514
neg_mean_absolute_error,2,-0.20765092040131522,-0.23716887944034606,-0.22096617397725593,-0.20171679628327452,-0.24697789297504938,-0.2231360034912618,-0.2258117646941179,-0.21248271503725635,-0.20018339581371436
neg_mean_absolute_error,3,-0.19253516518257693,-0.1906308536849818,-0.18499504154619614,-0.18279219190408477,-0.25051602231808734,-0.19857468231224235,-0.21207245125380778,-0.19163186113015482,-0.18318956426765665
neg_mean_absolute_error,4,-0.13193531432472078,-0.14907524862938257,-0.13472302733177047,-0.1324215696358645,-0.13731397656175273,-0.16221952126800956,-0.13464319099463853,-0.12496083000609355,-0.12897865586770624
neg_mean_absolute_error,5,-0.16477640088371903,-0.1547230078488851,-0.16107559324913287,-0.15989127092429847,-0.2039648988166433,-0.15580831343533033,-0.17672480089795445,-0.1624803076690914,-0.1606911619030828
neg_mean_absolute_error,6,-0.1980416107920723,-0.19548390785545652,-0.1918053298853395,-0.19795544182763244,-0.21333558423647633,-0.21452249952618876,-0.22297700931278078,-0.19957795141002527,-0.1844868482047357
neg_mean_absolute_error,7,-0.2058504187585177,-0.19880491854793736,-0.2149056234783179,-0.19303793055777355,-0.2450643087017534,-0.201841187176823,-0.24080742615926667,-0.20815074562811878,-0.20533498812870538
neg_mean_absolute_error,8,-0.18060404300393826,-0.18303780737752762,-0.18698597433875316,-0.17206404274868933,-0.19642023203598444,-0.19581682311964432,-0.19598260225595504,-0.18444998326719325,-0.180698353917774
neg_mean_absolute_error,9,-0.17337828908034328,-0.15638898083950561,-0.17430013868416733,-0.16838953575327026,-0.2130648644190628,-0.1672139287266076,-0.18353197847280625,-0.16502668448750504,-0.1599929242734936
neg_mean_absolute_error,10,-0.14462010644485676,-0.15328429920307418,-0.14387542756443703,-0.14199707547421153,-0.18685758984283302,-0.1625683732474743,-0.15377961104418675,-0.14453455050730857,-0.13737705484660723
neg_mean_absolute_error,11,-0.1651119487909009,-0.1641527819190124,-0.16518002453446107,-0.15993253814880734,-0.20366362684993713,-0.15698628329379868,-0.17066068730420272,-0.16283695243053162,-0.14831510718717156
neg_mean_absolute_error,12,-0.17954604191299395,-0.1754949697580147,-0.17971679668504678,-0.16992813802383325,-0.20081756320555022,-0.15351736052062592,-0.18664016765468872,-0.1699640983003318,-0.16747808975145223
neg_mean_absolute_error,13,-0.25155208537871476,-0.26639327597060264,-0.26041324030457946,-0.2528091118993364,-0.2991524093649823,-0.26052835842242705,-0.27521733979366375,-0.2578826771992835,-0.25496039586194047
neg_mean_absolute_error,14,-0.1821329201682784,-0.181472743771428,-0.1697987714945429,-0.17045736473456638,-0.20257509344875832,-0.17980047783161573,-0.1872603128003427,-0.16570314478314724,-0.1799278088735571
neg_mean_absolute_error,15,-0.25936499209453934,-0.24860000180847103,-0.25691216040232323,-0.2397179265959642,-0.2896698177707891,-0.24844303518171595,-0.2709558823644065,-0.25213015386629434,-0.2460253384611863
