scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
max_error,1,-1.8189397657003505,-2.300817222794813,-1.662003082904068,-5.704046789310184,-3.1741218815843935,-2.616167787409753,-1.7862988709284988,-4.213458812375158,-2.9520152695545994,-1.909668655170993,-2.535227763804124,-3.2079855498833822,-4.064582157069728,-2.0395786329908354
max_error,2,-1.330683118162116,-1.2708735216963785,-1.2993847632936673,-3.8775233303938497,-1.3093584876585225,-1.3612072864473213,-1.2880934921431284,-1.8903344844655954,-1.2875151298656191,-1.0809024927055204,-1.220446551307977,-1.322666467521123,-1.6597697176877166,-1.5094792918394013
max_error,3,-1.1331134410049428,-1.1957552819799868,-1.3421710371731204,-2.286225539488109,-1.3064077734967317,-0.8497662118390197,-1.0600541393350333,-1.2156608943852771,-1.6239458486778307,-1.1286715225487094,-1.1868429168290322,-1.2639404732644741,-1.0697786630613404,-1.150872894907338
max_error,4,-1.2428588824863234,-0.9501869643543732,-1.055124763762282,-3.390752618677188,-1.1714679575682259,-0.9269089207125054,-0.7731237815861269,-1.062727944899068,-1.2056829645284441,-0.8767255093695581,-0.9243600382210695,-1.1282843079013771,-1.2074755329876714,-0.9919233270672698
max_error,5,-1.314704536598252,-0.9927631944970847,-0.8139599622820899,-4.337538728689668,-2.113514648593154,-1.073313609940035,-1.185299304278315,-2.2279313695559013,-2.2147390442005794,-0.9783287999356337,-1.738493913190002,-1.8483167239741247,-2.0106672532419863,-2.0625258256553
max_error,6,-1.2874457482257426,-1.218000763218134,-1.1115425053029278,-5.670235082791125,-2.846638658759187,-1.2079362198959227,-1.0264059664329857,-2.9728292731758055,-2.3817844303484876,-1.2727263244396472,-1.773944187024985,-2.690138403849855,-3.3464271768592866,-1.1743814512891753
max_error,7,-1.2108587797870876,-1.2011594530316698,-1.2639084252533637,-5.178517560316773,-2.2196030760376626,-1.3072646100469139,-1.1634920630408396,-2.2206488481517965,-2.0662279329904445,-1.328869866319705,-1.5059734083589276,-2.4219943276365505,-2.912016119896786,-1.3667941846748823
max_error,8,-1.4178088690438342,-1.3353405269738894,-1.1863298883754942,-3.689975171793574,-2.4543587375266314,-1.1947496543534895,-1.0921636109034383,-3.262049408938841,-2.665168143189606,-1.2190452183732758,-1.6299583352638196,-2.10668006038303,-1.3705057772779634,-1.3738875564868738
max_error,9,-1.0731715607588008,-0.9194117542053836,-0.8793140976611369,-4.339004676232421,-1.319680235467227,-0.9644399149486619,-0.9505374277054865,-1.3483068199600503,-1.5575526895468828,-1.0459919828237378,-1.091806012505459,-1.378147442481868,-1.9572459319112605,-1.3305947397373927
max_error,10,-1.352116055486156,-1.0035062946660815,-0.8524024890323372,-3.615754914743662,-1.0147595543082644,-1.0745100241707088,-0.8826224156299047,-1.4180109533993428,-1.0628759623623916,-1.00257070673673,-1.2234896048946897,-1.037430418287144,-1.2928202623035083,-1.4236831603292053
max_error,11,-1.3441999659583526,-1.279328249479852,-1.2173763858944422,-1.7830674546772418,-2.4913009384292986,-1.349607270210783,-1.3470244474472246,-2.2279313695559013,-2.7901827418493306,-1.362995510218596,-1.728896590339592,-2.1987132858572362,-1.3892325997220079,-1.8569792081473655
max_error,12,-1.5213642370763556,-1.4321944200979835,-1.0138102609493327,-4.3636707326221424,-1.1123942824527195,-1.2642197067476508,-1.3083745848392152,-1.4315356360069673,-1.3082348912932709,-1.1858239733366842,-1.5577313283381038,-1.1627012612643672,-2.1240982968178512,-1.2981294030839035
max_error,13,-1.8901115501368992,-1.8667398409778242,-1.4866756981391545,-5.682661607409241,-3.198502455040564,-1.7929827786957153,-1.5104340106081793,-3.6823549299757707,-2.760835212791788,-1.6661511544780638,-2.159267596317193,-2.987448821278505,-3.5606789197901514,-1.756491856257437
max_error,14,-1.1093720642682203,-0.9186064790109122,-0.8717590169048456,-2.504531188114437,-1.646660691689561,-1.2153487863251007,-1.0096570969812144,-2.020379509538903,-1.5838659678932903,-1.4524861231184,-1.1603657497241064,-1.6462712945195574,-1.3535620954756338,-1.000370945432223
max_error,15,-1.8505809269040094,-2.014509110569554,-1.7280154619550485,-3.896923567215203,-1.4151229799297242,-2.0554656573036816,-1.8486586625315058,-2.6581203124984025,-1.3805323713859172,-1.3930417201484144,-2.1405151037016257,-1.4496490426592734,-2.406957732315033,-2.6430714939259303
max_error,16,-1.3572733142312066,-0.8738163732431375,-0.8099534596790436,-3.6003376009162467,-1.2546436158664354,-1.1853083855331668,-1.061567347500475,-0.9925036313594817,-1.3318715643535362,-0.6447831648287032,-1.196544275699501,-1.1525929459415338,-1.2152710075103892,-0.9938666519791483
max_error,17,-1.416376101655565,-1.1200318980952195,-0.8829787063854095,-4.353102803569344,-2.2219692479231545,-1.3789454278673219,-1.5659426111467853,-2.2279313695559013,-2.4979223019717907,-1.2474027098890237,-1.775972889416129,-2.0467047963190725,-2.0613495581914307,-2.216046528971035
max_error,18,-2.4448464713781792,-1.7671156685250207,-1.548120848598887,-5.6788084214811425,-2.989725981018756,-1.860840272778968,-1.7235950737040082,-3.7328123997042137,-2.795795314430723,-1.8382584805733941,-2.4189415023835754,-3.09116108984915,-3.6648868651694477,-1.6590106054944975
