group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
GradientBoostingRegressor,XGBRegressor,0.0019755137433266345,-0.012151132477532578,0.016102159964185847,0.9,-0.11013849410562752,-0.11211400784895416
GradientBoostingRegressor,RandomForestRegressor,0.0025639395128490977,-0.011562706708010115,0.01669058573370831,0.9,-0.11013849410562752,-0.11270243361847662
GradientBoostingRegressor,AdaBoostRegressor,0.0033342303544451057,-0.010792415866414107,0.017460876575304318,0.9,-0.11013849410562752,-0.11347272446007262
GradientBoostingRegressor,Anova,0.004002722749469181,-0.010123923471390031,0.018129368970328394,0.9,-0.11013849410562752,-0.1141412168550967
GradientBoostingRegressor,ExtraTreesRegressor,0.006192194038095969,-0.007934452182763244,0.02031884025895518,0.9,-0.11013849410562752,-0.11633068814372349
GradientBoostingRegressor,MutualInformation,0.013754885819573168,-0.0003717604012860448,0.02788153204043238,0.06320825508011318,-0.11013849410562752,-0.1238933799252007
GradientBoostingRegressor,NoFS,0.023862728293774407,0.009736082072915195,0.03798937451463362,0.001,-0.11013849410562752,-0.13400122239940196
GradientBoostingRegressor,LassoCV,0.036470452442384935,0.022343806221525722,0.05059709866324415,0.001,-0.11013849410562752,-0.14660894654801246
XGBRegressor,RandomForestRegressor,0.0005884257695224632,-0.01353822045133675,0.014715071990381676,0.9,-0.11211400784895416,-0.11270243361847662
XGBRegressor,AdaBoostRegressor,0.0013587166111184712,-0.012767929609740741,0.015485362831977684,0.9,-0.11211400784895416,-0.11347272446007262
XGBRegressor,Anova,0.002027209006142547,-0.012099437214716666,0.01615385522700176,0.9,-0.11211400784895416,-0.1141412168550967
XGBRegressor,ExtraTreesRegressor,0.004216680294769334,-0.009909965926089878,0.018343326515628547,0.9,-0.11211400784895416,-0.11633068814372349
XGBRegressor,MutualInformation,0.011779372076246533,-0.0023472741446126794,0.025906018297105746,0.1866337239874769,-0.11211400784895416,-0.1238933799252007
XGBRegressor,NoFS,0.021887214550447773,0.00776056832958856,0.036013860771306985,0.001,-0.11211400784895416,-0.13400122239940196
XGBRegressor,LassoCV,0.0344949386990583,0.020368292478199088,0.04862158491991751,0.001,-0.11211400784895416,-0.14660894654801246
RandomForestRegressor,AdaBoostRegressor,0.000770290841596008,-0.013356355379263204,0.01489693706245522,0.9,-0.11270243361847662,-0.11347272446007262
RandomForestRegressor,Anova,0.0014387832366200837,-0.012687862984239129,0.015565429457479296,0.9,-0.11270243361847662,-0.1141412168550967
RandomForestRegressor,ExtraTreesRegressor,0.003628254525246871,-0.010498391695612341,0.017754900746106084,0.9,-0.11270243361847662,-0.11633068814372349
RandomForestRegressor,MutualInformation,0.01119094630672407,-0.0029356999141351425,0.025317592527583282,0.2455136459477325,-0.11270243361847662,-0.1238933799252007
RandomForestRegressor,NoFS,0.02129878878092531,0.007172142560066097,0.03542543500178452,0.001,-0.11270243361847662,-0.13400122239940196
RandomForestRegressor,LassoCV,0.03390651292953584,0.019779866708676624,0.04803315915039505,0.001,-0.11270243361847662,-0.14660894654801246
AdaBoostRegressor,Anova,0.0006684923950240756,-0.013458153825835137,0.014795138615883288,0.9,-0.11347272446007262,-0.1141412168550967
AdaBoostRegressor,ExtraTreesRegressor,0.002857963683650863,-0.01126868253720835,0.016984609904510076,0.9,-0.11347272446007262,-0.11633068814372349
AdaBoostRegressor,MutualInformation,0.010420655465128062,-0.0037059907557311506,0.024547301685987274,0.339055378855292,-0.11347272446007262,-0.1238933799252007
AdaBoostRegressor,NoFS,0.0205284979393293,0.006401851718470089,0.034655144160188514,0.001,-0.11347272446007262,-0.13400122239940196
AdaBoostRegressor,LassoCV,0.03313622208793983,0.019009575867080616,0.04726286830879904,0.001,-0.11347272446007262,-0.14660894654801246
Anova,ExtraTreesRegressor,0.0021894712886267875,-0.011937174932232425,0.016316117509486,0.9,-0.1141412168550967,-0.11633068814372349
Anova,MutualInformation,0.009752163070103986,-0.004374483150755226,0.0238788092909632,0.435175797273726,-0.1141412168550967,-0.1238933799252007
Anova,NoFS,0.019860005544305226,0.005733359323446013,0.03398665176516444,0.001,-0.1141412168550967,-0.13400122239940196
Anova,LassoCV,0.03246772969291575,0.01834108347205654,0.046594375913774966,0.001,-0.1141412168550967,-0.14660894654801246
ExtraTreesRegressor,MutualInformation,0.007562691781477199,-0.006563954439382014,0.02168933800233641,0.7306761676661874,-0.11633068814372349,-0.1238933799252007
ExtraTreesRegressor,NoFS,0.01767053425567844,0.003543888034819226,0.03179718047653765,0.0037864098936167823,-0.11633068814372349,-0.13400122239940196
ExtraTreesRegressor,LassoCV,0.030278258404288966,0.016151612183429753,0.04440490462514818,0.001,-0.11633068814372349,-0.14660894654801246
MutualInformation,NoFS,0.01010784247420124,-0.004018803746657973,0.024234488695060452,0.38319073649415547,-0.1238933799252007,-0.13400122239940196
MutualInformation,LassoCV,0.022715566622811767,0.008588920401952554,0.03684221284367098,0.001,-0.1238933799252007,-0.14660894654801246
NoFS,LassoCV,0.012607724148610527,-0.0015189220722486851,0.02673437036946974,0.12255871443859612,-0.13400122239940196,-0.14660894654801246
