group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
GradientBoostingRegressor,XGBRegressor,0.0008635224977718292,-0.017333955533622967,0.019061000529166625,0.9,-0.323917732180165,-0.32478125467793684
GradientBoostingRegressor,AdaBoostRegressor,0.0030089842695523172,-0.015188493761842479,0.021206462300947113,0.9,-0.323917732180165,-0.3269267164497173
GradientBoostingRegressor,RandomForestRegressor,0.003179796354825848,-0.015017681676568948,0.021377274386220644,0.9,-0.323917732180165,-0.3270975285349909
GradientBoostingRegressor,Anova,0.004118879590989832,-0.014078598440404964,0.02231635762238463,0.9,-0.323917732180165,-0.32803661177115484
GradientBoostingRegressor,ExtraTreesRegressor,0.007989895656926094,-0.010207582374468702,0.02618737368832089,0.9,-0.323917732180165,-0.33190762783709116
GradientBoostingRegressor,MutualInformation,0.019211448079630544,0.0010139700482357482,0.03740892611102534,0.029853829306027646,-0.323917732180165,-0.34312918025979555
GradientBoostingRegressor,NoFS,0.030897938116727863,0.012700460085333067,0.049095416148122656,0.001,-0.323917732180165,-0.35481567029689287
GradientBoostingRegressor,LassoCV,0.048981144720214975,0.03078366668882018,0.06717862275160977,0.001,-0.323917732180165,-0.37289887690038
XGBRegressor,AdaBoostRegressor,0.002145461771780488,-0.016052016259614308,0.020342939803175284,0.9,-0.32478125467793684,-0.3269267164497173
XGBRegressor,RandomForestRegressor,0.0023162738570540187,-0.015881204174340777,0.020513751888448815,0.9,-0.32478125467793684,-0.3270975285349909
XGBRegressor,Anova,0.003255357093218003,-0.014942120938176793,0.0214528351246128,0.9,-0.32478125467793684,-0.32803661177115484
XGBRegressor,ExtraTreesRegressor,0.0071263731591542645,-0.011071104872240532,0.02532385119054906,0.9,-0.32478125467793684,-0.33190762783709116
XGBRegressor,MutualInformation,0.018347925581858715,0.00015044755046391897,0.03654540361325351,0.0464503916127883,-0.32478125467793684,-0.34312918025979555
XGBRegressor,NoFS,0.030034415618956034,0.011836937587561238,0.04823189365035083,0.001,-0.32478125467793684,-0.35481567029689287
XGBRegressor,LassoCV,0.048117622222443146,0.02992014419104835,0.06631510025383794,0.001,-0.32478125467793684,-0.37289887690038
AdaBoostRegressor,RandomForestRegressor,0.00017081208527353064,-0.018026665946121265,0.018368290116668327,0.9,-0.3269267164497173,-0.3270975285349909
AdaBoostRegressor,Anova,0.0011098953214375151,-0.01708758270995728,0.01930737335283231,0.9,-0.3269267164497173,-0.32803661177115484
AdaBoostRegressor,ExtraTreesRegressor,0.0049809113873737765,-0.01321656664402102,0.023178389418768573,0.9,-0.3269267164497173,-0.33190762783709116
AdaBoostRegressor,MutualInformation,0.016202463810078227,-0.001995014221316569,0.03439994184147302,0.12456582927247661,-0.3269267164497173,-0.34312918025979555
AdaBoostRegressor,NoFS,0.027888953847175546,0.00969147581578075,0.04608643187857034,0.001,-0.3269267164497173,-0.35481567029689287
AdaBoostRegressor,LassoCV,0.04597216045066266,0.027774682419267862,0.06416963848205745,0.001,-0.3269267164497173,-0.37289887690038
RandomForestRegressor,Anova,0.0009390832361639845,-0.01725839479523081,0.01913656126755878,0.9,-0.3270975285349909,-0.32803661177115484
RandomForestRegressor,ExtraTreesRegressor,0.004810099302100246,-0.01338737872929455,0.023007577333495042,0.9,-0.3270975285349909,-0.33190762783709116
RandomForestRegressor,MutualInformation,0.016031651724804696,-0.0021658263065900997,0.03422912975619949,0.13278961271345602,-0.3270975285349909,-0.34312918025979555
RandomForestRegressor,NoFS,0.027718141761902015,0.00952066373050722,0.04591561979329681,0.001,-0.3270975285349909,-0.35481567029689287
RandomForestRegressor,LassoCV,0.04580134836538913,0.02760387033399433,0.06399882639678392,0.001,-0.3270975285349909,-0.37289887690038
Anova,ExtraTreesRegressor,0.0038710160659362614,-0.014326461965458535,0.022068494097331057,0.9,-0.32803661177115484,-0.33190762783709116
Anova,MutualInformation,0.015092568488640712,-0.003104909542754084,0.033290046520035504,0.19246122998844628,-0.32803661177115484,-0.34312918025979555
Anova,NoFS,0.02677905852573803,0.008581580494343235,0.044976536557132824,0.001,-0.32803661177115484,-0.35481567029689287
Anova,LassoCV,0.04486226512922514,0.026664787097830347,0.06305974316061994,0.001,-0.32803661177115484,-0.37289887690038
ExtraTreesRegressor,MutualInformation,0.01122155242270445,-0.0069759256086903455,0.029419030454099247,0.5779580766470056,-0.33190762783709116,-0.34312918025979555
ExtraTreesRegressor,NoFS,0.02290804245980177,0.0047105644284069735,0.04110552049119656,0.003451818046082078,-0.33190762783709116,-0.35481567029689287
ExtraTreesRegressor,LassoCV,0.04099124906328888,0.022793771031894085,0.059188727094683674,0.001,-0.33190762783709116,-0.37289887690038
MutualInformation,NoFS,0.011686490037097319,-0.006510987994297477,0.029883968068492115,0.5299720299458179,-0.34312918025979555,-0.35481567029689287
MutualInformation,LassoCV,0.02976969664058443,0.011572218609189635,0.047967174671979224,0.001,-0.34312918025979555,-0.37289887690038
NoFS,LassoCV,0.018083206603487112,-0.0001142714279076841,0.036280684634881905,0.0529119254833782,-0.35481567029689287,-0.37289887690038
