AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
1.0,2.6552685726357123e-83,3.540839537968418e-61,2.520313117126442e-06,0.03345304494694051,6.059696025406187e-92,3.778402926509057e-58,6.945571587121387e-18,1.0,1.55335622973619e-31,5.461495226918232e-71,0.0041789122582793995,8.489974537846933e-33,2.6084142438339796e-69
2.6552685726357123e-83,1.0,7.680359592650563e-08,2.3239180417472286e-101,1.1540072242778035e-72,0.09587405576953206,8.191723096145662e-10,1.1943474008133883e-47,1.0730796261544339e-81,8.489974537846933e-33,0.009041488728220855,3.7643237484667126e-70,1.55335622973619e-31,0.0019562011276874625
3.540839537968418e-61,7.680359592650563e-08,1.0,6.763439217544438e-81,7.500120493393381e-50,1.1240399925204095e-14,1.0,7.282482659788972e-25,1.8852790800364262e-59,2.5971581517615756e-12,0.07784917613144596,3.2506382501537486e-47,2.3927650563663868e-11,0.17878961439939137
2.520313117126442e-06,2.3239180417472286e-101,6.763439217544438e-81,1.0,5.432070840172075e-14,2.80662308567623e-109,4.742936017524872e-78,4.031032509068678e-37,2.3645934449104775e-07,4.742661232001945e-52,5.137360900158323e-90,4.3189110681593907e-16,2.299195471663183e-53,1.8585540143951882e-88
0.03345304494694051,1.1540072242778035e-72,7.500120493393381e-50,5.432070840172075e-14,1.0,1.0730796261544339e-81,8.845216752723347e-47,3.1533010798590365e-09,0.09587405576953206,6.909911877948492e-21,7.018206657703379e-60,1.0,4.738103456059145e-22,3.778402926509057e-58
6.059696025406187e-92,0.09587405576953206,1.1240399925204095e-14,2.80662308567623e-109,1.0730796261544339e-81,1.0,3.6493741699110525e-17,2.7459652364380473e-57,2.121453765038947e-90,2.2341947470638387e-42,1.3886113103810236e-07,2.838557373646264e-79,4.61003034147617e-41,1.1251742525232742e-08
3.778402926509057e-58,8.191723096145662e-10,1.0,4.742936017524872e-78,8.845216752723347e-47,3.6493741699110525e-17,1.0,4.738103456059145e-22,2.0004839626031315e-56,4.197046495939651e-10,0.009041488728220855,3.8988234782446905e-44,3.1533010798590365e-09,0.03345304494694051
6.945571587121387e-18,1.1943474008133883e-47,7.282482659788972e-25,4.031032509068678e-37,3.1533010798590365e-09,2.7459652364380473e-57,4.738103456059145e-22,1.0,1.9257631942014056e-16,0.0019562011276874625,1.6183221336420193e-34,1.3886113103810236e-07,0.0005073942452438941,8.489974537846933e-33
1.0,1.0730796261544339e-81,1.8852790800364262e-59,2.3645934449104775e-07,0.09587405576953206,2.121453765038947e-90,2.0004839626031315e-56,1.9257631942014056e-16,1.0,7.388068287142556e-30,2.6084142438339796e-69,0.017193763230143752,3.990347357923617e-31,1.2720822989043531e-67
1.55335622973619e-31,8.489974537846933e-33,2.5971581517615756e-12,4.742661232001945e-52,6.909911877948492e-21,2.2341947470638387e-42,4.197046495939651e-10,0.0019562011276874625,7.388068287142556e-30,1.0,1.6594775934343222e-20,1.2570951575222562e-18,1.0,5.37440751685674e-19
5.461495226918232e-71,0.009041488728220855,0.07784917613144596,5.137360900158323e-90,7.018206657703379e-60,1.3886113103810236e-07,0.009041488728220855,1.6183221336420193e-34,2.6084142438339796e-69,1.6594775934343222e-20,1.0,2.7459652364380473e-57,2.2847201417312273e-19,1.0
0.0041789122582793995,3.7643237484667126e-70,3.2506382501537486e-47,4.3189110681593907e-16,1.0,2.838557373646264e-79,3.8988234782446905e-44,1.3886113103810236e-07,0.017193763230143752,1.2570951575222562e-18,2.7459652364380473e-57,1.0,9.659110417203615e-20,1.483360132277884e-55
8.489974537846933e-33,1.55335622973619e-31,2.3927650563663868e-11,2.299195471663183e-53,4.738103456059145e-22,4.61003034147617e-41,3.1533010798590365e-09,0.0005073942452438941,3.990347357923617e-31,1.0,2.2847201417312273e-19,9.659110417203615e-20,1.0,6.945571587121387e-18
2.6084142438339796e-69,0.0019562011276874625,0.17878961439939137,1.8585540143951882e-88,3.778402926509057e-58,1.1251742525232742e-08,0.03345304494694051,8.489974537846933e-33,1.2720822989043531e-67,5.37440751685674e-19,1.0,1.483360132277884e-55,6.945571587121387e-18,1.0
