AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
1.0,3.900673076164609e-33,1.1115343268538493e-34,4.2250052582898415e-18,0.021483928119984612,7.150541284495056e-23,1.3968242692005265e-31,0.001273952853618591,0.0009816977471947671,9.52915594787649e-20,2.6089032440309093e-05,0.40071174568776724,1.0,6.888765207694775e-09
3.900673076164609e-33,1.0,1.0,4.5178324404624025e-70,1.7978320167285062e-45,0.07286411439217878,1.0,1.165110147573258e-48,5.6327741688414625e-49,0.004559888923512942,9.873984368082371e-16,2.5116519566558664e-41,1.3069949694442579e-27,4.3265727235989515e-11
1.1115343268538493e-34,1.0,1.0,1.34641110040135e-71,4.57666765132597e-47,0.021483928119984612,1.0,2.972071229973216e-50,1.4375215772176243e-50,0.0009816977471947671,4.9413486438565027e-17,6.456608590977039e-43,3.950061228068793e-29,2.9706901584053863e-12
4.2250052582898415e-18,4.5178324404624025e-70,1.34641110040135e-71,1.0,1.0952012462943518e-08,1.7624756650704372e-59,1.543458908332918e-68,1.087686726347231e-06,1.5881205161201749e-06,5.381937802512391e-56,6.154132415248554e-36,1.5071801320838976e-11,3.715057563053424e-23,5.827617626702132e-42
0.021483928119984612,1.7978320167285062e-45,4.57666765132597e-47,1.0952012462943518e-08,1.0,1.1115343268538493e-34,7.139202866605766e-44,1.0,1.0,2.8130795108737483e-31,1.8093433377194469e-13,1.0,8.178464816933448e-05,2.2897829131148092e-18
7.150541284495056e-23,0.07286411439217878,0.021483928119984612,1.7624756650704372e-59,1.1115343268538493e-34,1.0,0.22560546545291882,7.799266979019478e-38,3.801507631815875e-38,1.0,7.252976514556966e-08,1.1546070380360154e-30,7.771434446981368e-18,0.0001682806170622533
1.3968242692005265e-31,1.0,1.0,1.543458908332918e-68,7.139202866605766e-44,0.22560546545291882,1.0,4.57666765132597e-47,2.2124457771405527e-47,0.017075138516561943,1.8161068678029064e-14,9.822476049647265e-40,4.095954774284425e-26,5.685854746990747e-10
0.001273952853618591,1.165110147573258e-48,2.972071229973216e-50,1.087686726347231e-06,1.0,7.799266979019478e-38,4.57666765132597e-47,1.0,1.0,2.1968097358569332e-34,5.505451885881521e-16,0.6150159226920036,1.5881205161201749e-06,3.7234348753512755e-21
0.0009816977471947671,5.6327741688414625e-49,1.4375215772176243e-50,1.5881205161201749e-06,1.0,3.801507631815875e-38,2.2124457771405527e-47,1.0,1.0,1.1115343268538493e-34,3.0588300190770983e-16,0.553387189636267,1.087686726347231e-06,1.9610223948852156e-21
9.52915594787649e-20,0.004559888923512942,0.0009816977471947671,5.381937802512391e-56,2.8130795108737483e-31,1.0,0.017075138516561943,2.1968097358569332e-34,1.1115343268538493e-34,1.0,8.202247531462132e-06,2.5855897920895536e-27,5.826267620791271e-15,0.00596841548807447
2.6089032440309093e-05,9.873984368082371e-16,4.9413486438565027e-17,6.154132415248554e-36,1.8093433377194469e-13,7.252976514556966e-08,1.8161068678029064e-14,5.505451885881521e-16,3.0588300190770983e-16,8.202247531462132e-06,1.0,2.0658024524506544e-10,0.009980084370661219,1.0
0.40071174568776724,2.5116519566558664e-41,6.456608590977039e-43,1.5071801320838976e-11,1.0,1.1546070380360154e-30,9.822476049647265e-40,0.6150159226920036,0.553387189636267,2.5855897920895536e-27,2.0658024524506544e-10,1.0,0.00596841548807447,5.826267620791271e-15
1.0,1.3069949694442579e-27,3.950061228068793e-29,3.715057563053424e-23,8.178464816933448e-05,7.771434446981368e-18,4.095954774284425e-26,1.5881205161201749e-06,1.087686726347231e-06,5.826267620791271e-15,0.009980084370661219,0.00596841548807447,1.0,1.8049121196651608e-05
6.888765207694775e-09,4.3265727235989515e-11,2.9706901584053863e-12,5.827617626702132e-42,2.2897829131148092e-18,0.0001682806170622533,5.685854746990747e-10,3.7234348753512755e-21,1.9610223948852156e-21,0.00596841548807447,1.0,5.826267620791271e-15,1.8049121196651608e-05,1.0
