CatBoostRegressor,XGBRegressor,ExtraTreesRegressor,CatBoostRegressor_opt,RandomForestRegressor,GradientBoostingRegressor,SVR,MLPRegressor,DummyRegressor,KNeighborsRegressor,AdaBoostRegressor,Ridge,ElasticNetCV,LinearRegression
1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.6502026822552536,0.03690652095384772,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.19006686299552533,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.2723044423655182,0.0018385320131559801,0.001,0.001,0.001,0.001
0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.38023372398808175,0.0036509947300277235,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.43466361956225563,0.00491829646951214,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.4904165521610959,0.006710917602848476,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.6981571928322137,0.021675998762488158,0.0023650806531022583,0.001,0.001,0.001
0.6502026822552536,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.17500128851688823,0.032789152430952595,0.001,0.001,0.001
0.03690652095384772,0.19006686299552533,0.2723044423655182,0.38023372398808175,0.43466361956225563,0.4904165521610959,0.6981571928322137,0.9,1.0,0.9,0.6269158078174415,0.004627164698352559,0.001,0.001
0.001,0.001,0.0018385320131559801,0.0036509947300277235,0.00491829646951214,0.006710917602848476,0.021675998762488158,0.17500128851688823,0.9,1.0,0.9,0.4234127112400601,0.12683040369870957,0.03574454213574996
0.001,0.001,0.001,0.001,0.001,0.001,0.0023650806531022583,0.032789152430952595,0.6269158078174415,0.9,1.0,0.8055128354313761,0.4500046077161902,0.186470545874862
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004627164698352559,0.4234127112400601,0.8055128354313761,1.0,0.9,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.12683040369870957,0.4500046077161902,0.9,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.03574454213574996,0.186470545874862,0.9,0.9,1.0
