CatBoostRegressor_opt,CatBoostRegressor,GradientBoostingRegressor,ExtraTreesRegressor,MLPRegressor,XGBRegressor,RandomForestRegressor,SVR,AdaBoostRegressor,Ridge,ElasticNetCV,LinearRegression,KNeighborsRegressor,DummyRegressor
1.0,0.9,0.9,0.9,0.9,0.00949855398134869,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.9,0.9,0.06100716266351158,0.0030702525716721496,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.9,0.14616358917297312,0.01043042231720559,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,1.0,0.9,0.4525413520541357,0.06302036201274575,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,0.9,0.9,1.0,0.568261844736905,0.10402652194225925,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.00949855398134869,0.06100716266351158,0.14616358917297312,0.4525413520541357,0.568261844736905,1.0,0.9,0.0013312220368790761,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.0030702525716721496,0.01043042231720559,0.06302036201274575,0.10402652194225925,0.9,1.0,0.032232104940426165,0.006730740181075556,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.0013312220368790761,0.032232104940426165,1.0,0.9,0.007622735770460909,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.006730740181075556,0.9,1.0,0.03587879200064592,0.004043109322433236,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.007622735770460909,0.03587879200064592,1.0,0.9,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004043109322433236,0.9,1.0,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,1.0,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,0.9,1.0,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0
