group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
DummyRegressor,KNeighborsRegressor,-1.9978697940487646,-2.4010371039810945,-1.5947024841164348,0.001,-4.1257393195122605,-2.127869525463496
DummyRegressor,SVR,-2.038582634139521,-2.4417499440718506,-1.635415324207191,0.001,-4.1257393195122605,-2.0871566853727397
DummyRegressor,ElasticNetCV,-2.258245784184581,-2.6614130941169107,-1.855078474252251,0.001,-4.1257393195122605,-1.8674935353276796
DummyRegressor,LinearRegression,-2.262325840221143,-2.665493150153473,-1.8591585302888132,0.001,-4.1257393195122605,-1.8634134792911174
DummyRegressor,Ridge,-2.2892852332345597,-2.6924525431668895,-1.8861179233022298,0.001,-4.1257393195122605,-1.8364540862777008
DummyRegressor,RandomForestRegressor,-2.583300245762576,-2.986467555694906,-2.180132935830246,0.001,-4.1257393195122605,-1.5424390737496845
DummyRegressor,XGBRegressor,-2.654154151013587,-3.057321460945917,-2.2509868410812572,0.001,-4.1257393195122605,-1.4715851684986736
DummyRegressor,AdaBoostRegressor,-2.7208152564682875,-3.1239825664006173,-2.3176479465359576,0.001,-4.1257393195122605,-1.4049240630439732
DummyRegressor,ExtraTreesRegressor,-2.8094360600426507,-3.2126033699749805,-2.406268750110321,0.001,-4.1257393195122605,-1.3163032594696096
DummyRegressor,CatBoostRegressor,-2.8593922432319303,-3.26255955316426,-2.4562249332996005,0.001,-4.1257393195122605,-1.2663470762803302
DummyRegressor,GradientBoostingRegressor,-2.8895519371196103,-3.29271924705194,-2.4863846271872805,0.001,-4.1257393195122605,-1.23618738239265
DummyRegressor,MLPRegressor,-2.9172452947279552,-3.320412604660285,-2.5140779847956254,0.001,-4.1257393195122605,-1.2084940247843052
DummyRegressor,CatBoostRegressor_opt,-2.979471365917683,-3.382638675850013,-2.576304055985353,0.001,-4.1257393195122605,-1.146267953594577
KNeighborsRegressor,SVR,-0.04071284009075615,-0.4438801500230859,0.3624544698415736,0.9,-2.127869525463496,-2.0871566853727397
KNeighborsRegressor,ElasticNetCV,-0.26037599013581625,-0.663543300068146,0.1427913197965135,0.6219509317669946,-2.127869525463496,-1.8674935353276796
KNeighborsRegressor,LinearRegression,-0.2644560461723784,-0.6676233561047081,0.13871126375995135,0.6003571982776184,-2.127869525463496,-1.8634134792911174
KNeighborsRegressor,Ridge,-0.29141543918579504,-0.6945827491181248,0.1117518707465347,0.4553091260107692,-2.127869525463496,-1.8364540862777008
KNeighborsRegressor,RandomForestRegressor,-0.5854304517138114,-0.9885977616461411,-0.18226314178148162,0.001,-2.127869525463496,-1.5424390737496845
KNeighborsRegressor,XGBRegressor,-0.6562843569648225,-1.0594516668971523,-0.2531170470324927,0.001,-2.127869525463496,-1.4715851684986736
KNeighborsRegressor,AdaBoostRegressor,-0.7229454624195226,-1.1261127723518523,-0.3197781524871929,0.001,-2.127869525463496,-1.4049240630439732
KNeighborsRegressor,ExtraTreesRegressor,-0.8115662659938858,-1.2147335759262154,-0.4083989560615561,0.001,-2.127869525463496,-1.3163032594696096
KNeighborsRegressor,CatBoostRegressor,-0.8615224491831657,-1.2646897591154955,-0.45835513925083593,0.001,-2.127869525463496,-1.2663470762803302
KNeighborsRegressor,GradientBoostingRegressor,-0.8916821430708457,-1.2948494530031756,-0.48851483313851596,0.001,-2.127869525463496,-1.23618738239265
KNeighborsRegressor,MLPRegressor,-0.9193755006791908,-1.3225428106115205,-0.5162081907468611,0.001,-2.127869525463496,-1.2084940247843052
KNeighborsRegressor,CatBoostRegressor_opt,-0.9816015718689186,-1.3847688818012482,-0.5784342619365889,0.001,-2.127869525463496,-1.146267953594577
SVR,ElasticNetCV,-0.2196631500450601,-0.6228304599773898,0.18350415988726965,0.8374162362286091,-2.0871566853727397,-1.8674935353276796
SVR,LinearRegression,-0.22374320608162224,-0.626910516013952,0.1794241038507075,0.8158231431230971,-2.0871566853727397,-1.8634134792911174
SVR,Ridge,-0.2507025990950389,-0.6538699090273686,0.15246471083729085,0.6731447061024757,-2.0871566853727397,-1.8364540862777008
SVR,RandomForestRegressor,-0.5447176116230552,-0.947884921555385,-0.14155030169072547,0.001,-2.0871566853727397,-1.5424390737496845
SVR,XGBRegressor,-0.6155715168740663,-1.0187388268063962,-0.21240420694173656,0.001,-2.0871566853727397,-1.4715851684986736
SVR,AdaBoostRegressor,-0.6822326223287665,-1.085399932261096,-0.2790653123964367,0.001,-2.0871566853727397,-1.4049240630439732
SVR,ExtraTreesRegressor,-0.7708534259031297,-1.1740207358354593,-0.3676861159707999,0.001,-2.0871566853727397,-1.3163032594696096
SVR,CatBoostRegressor,-0.8208096090924095,-1.2239769190247394,-0.4176422991600798,0.001,-2.0871566853727397,-1.2663470762803302
SVR,GradientBoostingRegressor,-0.8509693029800895,-1.2541366129124194,-0.4478019930477598,0.001,-2.0871566853727397,-1.23618738239265
SVR,MLPRegressor,-0.8786626605884347,-1.2818299705207643,-0.47549535065610493,0.001,-2.0871566853727397,-1.2084940247843052
SVR,CatBoostRegressor_opt,-0.9408887317781625,-1.344056041710492,-0.5377214218458327,0.001,-2.0871566853727397,-1.146267953594577
ElasticNetCV,LinearRegression,-0.004080056036562141,-0.4072473659688919,0.3990872538957676,0.9,-1.8674935353276796,-1.8634134792911174
ElasticNetCV,Ridge,-0.031039449049978796,-0.43420675898230854,0.37212786088235095,0.9,-1.8674935353276796,-1.8364540862777008
ElasticNetCV,RandomForestRegressor,-0.3250544615779951,-0.7282217715103249,0.07811284835433463,0.2697924451220064,-1.8674935353276796,-1.5424390737496845
ElasticNetCV,XGBRegressor,-0.3959083668290062,-0.799075676761336,0.007258943103323534,0.0602224740935462,-1.8674935353276796,-1.4715851684986736
ElasticNetCV,AdaBoostRegressor,-0.4625694722837064,-0.8657367822160361,-0.05940216235137663,0.009411387151104122,-1.8674935353276796,-1.4049240630439732
ElasticNetCV,ExtraTreesRegressor,-0.5511902758580696,-0.9543575857903993,-0.14802296592573982,0.001,-1.8674935353276796,-1.3163032594696096
ElasticNetCV,CatBoostRegressor,-0.6011464590473494,-1.0043137689796793,-0.19797914911501968,0.001,-1.8674935353276796,-1.2663470762803302
ElasticNetCV,GradientBoostingRegressor,-0.6313061529350295,-1.0344734628673593,-0.2281388430026997,0.001,-1.8674935353276796,-1.23618738239265
ElasticNetCV,MLPRegressor,-0.6589995105433746,-1.0621668204757042,-0.25583220061104484,0.001,-1.8674935353276796,-1.2084940247843052
ElasticNetCV,CatBoostRegressor_opt,-0.7212255817331024,-1.124392891665432,-0.3180582718007726,0.001,-1.8674935353276796,-1.146267953594577
LinearRegression,Ridge,-0.026959393013416655,-0.4301267029457464,0.3762079169189131,0.9,-1.8634134792911174,-1.8364540862777008
LinearRegression,RandomForestRegressor,-0.32097440554143297,-0.7241417154737627,0.08219290439089677,0.28943858751665064,-1.8634134792911174,-1.5424390737496845
LinearRegression,XGBRegressor,-0.39182831079244407,-0.7949956207247738,0.011338999139885675,0.06670076911342293,-1.8634134792911174,-1.4715851684986736
LinearRegression,AdaBoostRegressor,-0.45848941624714423,-0.861656726179474,-0.05532210631481449,0.010656271438939324,-1.8634134792911174,-1.4049240630439732
LinearRegression,ExtraTreesRegressor,-0.5471102198215074,-0.9502775297538372,-0.14394290988917768,0.001,-1.8634134792911174,-1.3163032594696096
LinearRegression,CatBoostRegressor,-0.5970664030107873,-1.0002337129431171,-0.19389909307845754,0.001,-1.8634134792911174,-1.2663470762803302
LinearRegression,GradientBoostingRegressor,-0.6272260968984673,-1.0303934068307972,-0.22405878696613757,0.001,-1.8634134792911174,-1.23618738239265
LinearRegression,MLPRegressor,-0.6549194545068124,-1.058086764439142,-0.2517521445744827,0.001,-1.8634134792911174,-1.2084940247843052
LinearRegression,CatBoostRegressor_opt,-0.7171455256965402,-1.1203128356288699,-0.3139782157642105,0.001,-1.8634134792911174,-1.146267953594577
Ridge,RandomForestRegressor,-0.2940150125280163,-0.6971823224603461,0.10915229740431343,0.44014645000434893,-1.8364540862777008,-1.5424390737496845
Ridge,XGBRegressor,-0.3648689177790274,-0.7680362277113572,0.03829839215330233,0.12436206834371089,-1.8364540862777008,-1.4715851684986736
Ridge,AdaBoostRegressor,-0.4315300232337276,-0.8346973331660573,-0.028362713301397835,0.02339619811378091,-1.8364540862777008,-1.4049240630439732
Ridge,ExtraTreesRegressor,-0.5201508268080908,-0.9233181367404205,-0.11698351687576103,0.0014250618138381688,-1.8364540862777008,-1.3163032594696096
Ridge,CatBoostRegressor,-0.5701070099973706,-0.9732743199297004,-0.16693970006504089,0.001,-1.8364540862777008,-1.2663470762803302
Ridge,GradientBoostingRegressor,-0.6002667038850507,-1.0034340138173805,-0.1970993939527209,0.001,-1.8364540862777008,-1.23618738239265
Ridge,MLPRegressor,-0.6279600614933958,-1.0311273714257254,-0.22479275156106604,0.001,-1.8364540862777008,-1.2084940247843052
Ridge,CatBoostRegressor_opt,-0.6901861326831236,-1.0933534426154532,-0.2870188227507938,0.001,-1.8364540862777008,-1.146267953594577
RandomForestRegressor,XGBRegressor,-0.0708539052510111,-0.47402121518334084,0.33231340468131865,0.9,-1.5424390737496845,-1.4715851684986736
RandomForestRegressor,AdaBoostRegressor,-0.13751501070571126,-0.540682320638041,0.2656522992266185,0.9,-1.5424390737496845,-1.4049240630439732
RandomForestRegressor,ExtraTreesRegressor,-0.22613581428007445,-0.6293031242124042,0.1770314956522553,0.8031617637655015,-1.5424390737496845,-1.3163032594696096
RandomForestRegressor,CatBoostRegressor,-0.2760919974693543,-0.679259307401684,0.12707531246297543,0.5387766304471808,-1.5424390737496845,-1.2663470762803302
RandomForestRegressor,GradientBoostingRegressor,-0.30625169135703434,-0.7094190012893641,0.0969156185752954,0.36773360975555947,-1.5424390737496845,-1.23618738239265
RandomForestRegressor,MLPRegressor,-0.33394504896537947,-0.7371123588977092,0.06922226096695028,0.23022650093528207,-1.5424390737496845,-1.2084940247843052
RandomForestRegressor,CatBoostRegressor_opt,-0.39617112015510725,-0.799338430087437,0.006996189777222495,0.05982206443874538,-1.5424390737496845,-1.146267953594577
XGBRegressor,AdaBoostRegressor,-0.06666110545470016,-0.4698284153870299,0.3365062044776296,0.9,-1.4715851684986736,-1.4049240630439732
XGBRegressor,ExtraTreesRegressor,-0.15528190902906336,-0.5584492189613931,0.24788540090326638,0.9,-1.4715851684986736,-1.3163032594696096
XGBRegressor,CatBoostRegressor,-0.20523809221834322,-0.608405402150673,0.19792921771398653,0.9,-1.4715851684986736,-1.2663470762803302
XGBRegressor,GradientBoostingRegressor,-0.23539778610602324,-0.638565096038353,0.1677695238263065,0.7541434275007957,-1.4715851684986736,-1.23618738239265
XGBRegressor,MLPRegressor,-0.26309114371436837,-0.6662584536466981,0.14007616621796137,0.6075824301965339,-1.4715851684986736,-1.2084940247843052
XGBRegressor,CatBoostRegressor_opt,-0.32531721490409615,-0.7284845248364259,0.07785009502823359,0.2685508783605248,-1.4715851684986736,-1.146267953594577
AdaBoostRegressor,ExtraTreesRegressor,-0.0886208035743632,-0.49178811350669294,0.31454650635796655,0.9,-1.4049240630439732,-1.3163032594696096
AdaBoostRegressor,CatBoostRegressor,-0.13857698676364305,-0.5417442966959728,0.2645903231686867,0.9,-1.4049240630439732,-1.2663470762803302
AdaBoostRegressor,GradientBoostingRegressor,-0.16873668065132308,-0.5719039905836528,0.23443062928100666,0.9,-1.4049240630439732,-1.23618738239265
AdaBoostRegressor,MLPRegressor,-0.1964300382596682,-0.599597348191998,0.20673727167266154,0.9,-1.4049240630439732,-1.2084940247843052
AdaBoostRegressor,CatBoostRegressor_opt,-0.258656109449396,-0.6618234193817257,0.14451120048293375,0.6310527995827033,-1.4049240630439732,-1.146267953594577
ExtraTreesRegressor,CatBoostRegressor,-0.04995618318927986,-0.4531234931216096,0.3532111267430499,0.9,-1.3163032594696096,-1.2663470762803302
ExtraTreesRegressor,GradientBoostingRegressor,-0.08011587707695988,-0.4832831870092896,0.32305143285536986,0.9,-1.3163032594696096,-1.23618738239265
ExtraTreesRegressor,MLPRegressor,-0.10780923468530501,-0.5109765446176348,0.29535807524702473,0.9,-1.3163032594696096,-1.2084940247843052
ExtraTreesRegressor,CatBoostRegressor_opt,-0.1700353058750328,-0.5732026158073625,0.23313200405729695,0.9,-1.3163032594696096,-1.146267953594577
CatBoostRegressor,GradientBoostingRegressor,-0.030159693887680028,-0.43332700382000977,0.3730076160446497,0.9,-1.2663470762803302,-1.23618738239265
CatBoostRegressor,MLPRegressor,-0.057853051496025154,-0.4610203614283549,0.3453142584363046,0.9,-1.2663470762803302,-1.2084940247843052
CatBoostRegressor,CatBoostRegressor_opt,-0.12007912268575294,-0.5232464326180827,0.2830881872465768,0.9,-1.2663470762803302,-1.146267953594577
GradientBoostingRegressor,MLPRegressor,-0.027693357608345126,-0.43086066754067487,0.3754739523239846,0.9,-1.23618738239265,-1.2084940247843052
GradientBoostingRegressor,CatBoostRegressor_opt,-0.08991942879807291,-0.49308673873040265,0.31324788113425683,0.9,-1.23618738239265,-1.146267953594577
MLPRegressor,CatBoostRegressor_opt,-0.06222607118972778,-0.4653933811220575,0.34094123874260196,0.9,-1.2084940247843052,-1.146267953594577
