group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
CatBoostRegressor_opt,CatBoostRegressor,0.007637720442619622,-0.029149356306152813,0.04442479719139206,0.9,-0.26328999574669526,-0.2709277161893149
CatBoostRegressor_opt,GradientBoostingRegressor,0.011768571233563119,-0.025018505515209316,0.048555647982335554,0.9,-0.26328999574669526,-0.2750585669802584
CatBoostRegressor_opt,ExtraTreesRegressor,0.019458944193050665,-0.01732813255572177,0.0562460209418231,0.8713057527457027,-0.26328999574669526,-0.2827489399397459
CatBoostRegressor_opt,MLPRegressor,0.02119302212454849,-0.015594054624223946,0.05798009887332092,0.7707245958468588,-0.26328999574669526,-0.28448301787124375
CatBoostRegressor_opt,XGBRegressor,0.04781634554953795,0.011029268800765518,0.08460342229831039,0.0012459939200790693,-0.26328999574669526,-0.31110634129623327
CatBoostRegressor_opt,RandomForestRegressor,0.06062773643346975,0.023840659684697313,0.09741481318224218,0.001,-0.26328999574669526,-0.323917732180165
CatBoostRegressor_opt,SVR,0.10107190925451182,0.06428483250573938,0.13785898600328425,0.001,-0.26328999574669526,-0.3643619050012071
CatBoostRegressor_opt,AdaBoostRegressor,0.10501728556399115,0.06823020881521871,0.14180436231276358,0.001,-0.26328999574669526,-0.3683072813106864
CatBoostRegressor_opt,Ridge,0.13737147060570726,0.10058439385693482,0.1741585473544797,0.001,-0.26328999574669526,-0.4006614663524025
CatBoostRegressor_opt,ElasticNetCV,0.14211242557987241,0.10532534883109998,0.17889950232864485,0.001,-0.26328999574669526,-0.40540242132656773
CatBoostRegressor_opt,LinearRegression,0.14801875751201,0.11123168076323756,0.18480583426078243,0.001,-0.26328999574669526,-0.41130875325870525
CatBoostRegressor_opt,KNeighborsRegressor,0.15322570663861612,0.11643862988984369,0.19001278338738856,0.001,-0.26328999574669526,-0.4165157023853114
CatBoostRegressor_opt,DummyRegressor,0.7548893603551599,0.7181022836063874,0.7916764371039323,0.001,-0.26328999574669526,-1.018179356101855
CatBoostRegressor,GradientBoostingRegressor,0.004130850790943497,-0.03265622595782894,0.04091792753971593,0.9,-0.2709277161893149,-0.2750585669802584
CatBoostRegressor,ExtraTreesRegressor,0.011821223750431042,-0.024965852998341392,0.04860830049920348,0.9,-0.2709277161893149,-0.2827489399397459
CatBoostRegressor,MLPRegressor,0.013555301681928866,-0.02323177506684357,0.0503423784307013,0.9,-0.2709277161893149,-0.28448301787124375
CatBoostRegressor,XGBRegressor,0.04017862510691833,0.003391548358145896,0.07696570185569077,0.018230353921920517,-0.2709277161893149,-0.31110634129623327
CatBoostRegressor,RandomForestRegressor,0.052990015990850126,0.01620293924207769,0.08977709273962256,0.001,-0.2709277161893149,-0.323917732180165
CatBoostRegressor,SVR,0.0934341888118922,0.05664711206311976,0.13022126556066463,0.001,-0.2709277161893149,-0.3643619050012071
CatBoostRegressor,AdaBoostRegressor,0.09737956512137153,0.06059248837259909,0.13416664187014396,0.001,-0.2709277161893149,-0.3683072813106864
CatBoostRegressor,Ridge,0.12973375016308764,0.0929466734143152,0.16652082691186007,0.001,-0.2709277161893149,-0.4006614663524025
CatBoostRegressor,ElasticNetCV,0.1344747051372528,0.09768762838848036,0.17126178188602523,0.001,-0.2709277161893149,-0.40540242132656773
CatBoostRegressor,LinearRegression,0.14038103706939037,0.10359396032061793,0.1771681138181628,0.001,-0.2709277161893149,-0.41130875325870525
CatBoostRegressor,KNeighborsRegressor,0.1455879861959965,0.10880090944722406,0.18237506294476893,0.001,-0.2709277161893149,-0.4165157023853114
CatBoostRegressor,DummyRegressor,0.7472516399125402,0.7104645631637677,0.7840387166613126,0.001,-0.2709277161893149,-1.018179356101855
GradientBoostingRegressor,ExtraTreesRegressor,0.007690372959487546,-0.02909670378928489,0.04447744970825998,0.9,-0.2750585669802584,-0.2827489399397459
GradientBoostingRegressor,MLPRegressor,0.00942445089098537,-0.027362625857787065,0.046211527639757805,0.9,-0.2750585669802584,-0.28448301787124375
GradientBoostingRegressor,XGBRegressor,0.036047774315974834,-0.0007393024327976006,0.07283485106474727,0.061516194473725805,-0.2750585669802584,-0.31110634129623327
GradientBoostingRegressor,RandomForestRegressor,0.04885916519990663,0.012072088451134194,0.08564624194867906,0.001,-0.2750585669802584,-0.323917732180165
GradientBoostingRegressor,SVR,0.0893033380209487,0.05251626127217626,0.12609041476972113,0.001,-0.2750585669802584,-0.3643619050012071
GradientBoostingRegressor,AdaBoostRegressor,0.09324871433042803,0.056461637581655594,0.13003579107920046,0.001,-0.2750585669802584,-0.3683072813106864
GradientBoostingRegressor,Ridge,0.12560289937214414,0.0888158226233717,0.16238997612091657,0.001,-0.2750585669802584,-0.4006614663524025
GradientBoostingRegressor,ElasticNetCV,0.1303438543463093,0.09355677759753686,0.16713093109508173,0.001,-0.2750585669802584,-0.40540242132656773
GradientBoostingRegressor,LinearRegression,0.13625018627844687,0.09946310952967444,0.1730372630272193,0.001,-0.2750585669802584,-0.41130875325870525
GradientBoostingRegressor,KNeighborsRegressor,0.141457135405053,0.10467005865628057,0.17824421215382544,0.001,-0.2750585669802584,-0.4165157023853114
GradientBoostingRegressor,DummyRegressor,0.7431207891215967,0.7063337123728243,0.7799078658703692,0.001,-0.2750585669802584,-1.018179356101855
ExtraTreesRegressor,MLPRegressor,0.0017340779314978239,-0.03505299881727461,0.03852115468027026,0.9,-0.2827489399397459,-0.28448301787124375
ExtraTreesRegressor,XGBRegressor,0.02835740135648729,-0.008429675392285146,0.06514447810525972,0.34179634082242527,-0.2827489399397459,-0.31110634129623327
ExtraTreesRegressor,RandomForestRegressor,0.04116879224041908,0.004381715491646648,0.07795586898919152,0.013268169718683609,-0.2827489399397459,-0.323917732180165
ExtraTreesRegressor,SVR,0.08161296506146115,0.044825888312688716,0.11840004181023359,0.001,-0.2827489399397459,-0.3643619050012071
ExtraTreesRegressor,AdaBoostRegressor,0.08555834137094048,0.04877126462216805,0.12234541811971292,0.001,-0.2827489399397459,-0.3683072813106864
ExtraTreesRegressor,Ridge,0.1179125264126566,0.08112544966388416,0.15469960316142903,0.001,-0.2827489399397459,-0.4006614663524025
ExtraTreesRegressor,ElasticNetCV,0.12265348138682175,0.08586640463804932,0.15944055813559418,0.001,-0.2827489399397459,-0.40540242132656773
ExtraTreesRegressor,LinearRegression,0.12855981331895933,0.09177273657018689,0.16534689006773176,0.001,-0.2827489399397459,-0.41130875325870525
ExtraTreesRegressor,KNeighborsRegressor,0.13376676244556546,0.09697968569679302,0.1705538391943379,0.001,-0.2827489399397459,-0.4165157023853114
ExtraTreesRegressor,DummyRegressor,0.7354304161621091,0.6986433394133367,0.7722174929108816,0.001,-0.2827489399397459,-1.018179356101855
MLPRegressor,XGBRegressor,0.026623323424989465,-0.01016375332378297,0.0634104001737619,0.45321024588322323,-0.28448301787124375,-0.31110634129623327
MLPRegressor,RandomForestRegressor,0.03943471430892126,0.0026476375601488245,0.0762217910576937,0.02297509415735166,-0.28448301787124375,-0.323917732180165
MLPRegressor,SVR,0.07987888712996333,0.04309181038119089,0.11666596387873576,0.001,-0.28448301787124375,-0.3643619050012071
MLPRegressor,AdaBoostRegressor,0.08382426343944266,0.047037186690670224,0.1206113401882151,0.001,-0.28448301787124375,-0.3683072813106864
MLPRegressor,Ridge,0.11617844848115877,0.07939137173238633,0.1529655252299312,0.001,-0.28448301787124375,-0.4006614663524025
MLPRegressor,ElasticNetCV,0.12091940345532393,0.08413232670655149,0.15770648020409636,0.001,-0.28448301787124375,-0.40540242132656773
MLPRegressor,LinearRegression,0.1268257353874615,0.09003865863868907,0.16361281213623394,0.001,-0.28448301787124375,-0.41130875325870525
MLPRegressor,KNeighborsRegressor,0.13203268451406763,0.0952456077652952,0.16881976126284007,0.001,-0.28448301787124375,-0.4165157023853114
MLPRegressor,DummyRegressor,0.7336963382306113,0.6969092614818388,0.7704834149793838,0.001,-0.28448301787124375,-1.018179356101855
XGBRegressor,RandomForestRegressor,0.012811390883931795,-0.02397568586484064,0.04959846763270423,0.9,-0.31110634129623327,-0.323917732180165
XGBRegressor,SVR,0.05325556370497386,0.016468486956201428,0.0900426404537463,0.001,-0.31110634129623327,-0.3643619050012071
XGBRegressor,AdaBoostRegressor,0.057200940014453194,0.02041386326568076,0.09398801676322563,0.001,-0.31110634129623327,-0.3683072813106864
XGBRegressor,Ridge,0.0895551250561693,0.05276804830739687,0.12634220180494174,0.001,-0.31110634129623327,-0.4006614663524025
XGBRegressor,ElasticNetCV,0.09429608003033446,0.05750900328156203,0.1310831567791069,0.001,-0.31110634129623327,-0.40540242132656773
XGBRegressor,LinearRegression,0.10020241196247204,0.0634153352136996,0.13698948871124447,0.001,-0.31110634129623327,-0.41130875325870525
XGBRegressor,KNeighborsRegressor,0.10540936108907817,0.06862228434030573,0.1421964378378506,0.001,-0.31110634129623327,-0.4165157023853114
XGBRegressor,DummyRegressor,0.7070730148056219,0.6702859380568494,0.7438600915543944,0.001,-0.31110634129623327,-1.018179356101855
RandomForestRegressor,SVR,0.04044417282104207,0.0036570960722696333,0.0772312495698145,0.01675813794219172,-0.323917732180165,-0.3643619050012071
RandomForestRegressor,AdaBoostRegressor,0.0443895491305214,0.007602472381748965,0.08117662587929383,0.004427467910845695,-0.323917732180165,-0.3683072813106864
RandomForestRegressor,Ridge,0.07674373417223751,0.039956657423465075,0.11353081092100994,0.001,-0.323917732180165,-0.4006614663524025
RandomForestRegressor,ElasticNetCV,0.08148468914640267,0.04469761239763023,0.1182717658951751,0.001,-0.323917732180165,-0.40540242132656773
RandomForestRegressor,LinearRegression,0.08739102107854024,0.05060394432976781,0.12417809782731268,0.001,-0.323917732180165,-0.41130875325870525
RandomForestRegressor,KNeighborsRegressor,0.09259797020514637,0.05581089345637394,0.1293850469539188,0.001,-0.323917732180165,-0.4165157023853114
RandomForestRegressor,DummyRegressor,0.6942616239216901,0.6574745471729176,0.7310487006704626,0.001,-0.323917732180165,-1.018179356101855
SVR,AdaBoostRegressor,0.0039453763094793315,-0.0328417004392931,0.040732453058251766,0.9,-0.3643619050012071,-0.3683072813106864
SVR,Ridge,0.03629956135119544,-0.000487515397576993,0.07308663809996788,0.057362359461075596,-0.3643619050012071,-0.4006614663524025
SVR,ElasticNetCV,0.0410405163253606,0.004253439576588164,0.07782759307413303,0.01383176634067973,-0.3643619050012071,-0.40540242132656773
SVR,LinearRegression,0.046946848257498175,0.01015977150872574,0.08373392500627061,0.0017342384919688536,-0.3643619050012071,-0.41130875325870525
SVR,KNeighborsRegressor,0.052153797384104306,0.01536672063533187,0.08894087413287674,0.001,-0.3643619050012071,-0.4165157023853114
SVR,DummyRegressor,0.653817451100648,0.6170303743518756,0.6906045278494205,0.001,-0.3643619050012071,-1.018179356101855
AdaBoostRegressor,Ridge,0.03235418504171611,-0.0044328917070563245,0.06914126179048855,0.15384436735123608,-0.3683072813106864,-0.4006614663524025
AdaBoostRegressor,ElasticNetCV,0.03709514001588127,0.00030806326710883236,0.0738822167646537,0.0459107935818196,-0.3683072813106864,-0.40540242132656773
AdaBoostRegressor,LinearRegression,0.04300147194801884,0.006214395199246409,0.07978854869679128,0.007191998181019343,-0.3683072813106864,-0.41130875325870525
AdaBoostRegressor,KNeighborsRegressor,0.048208421074624974,0.01142134432585254,0.08499549782339741,0.0010705274073793403,-0.3683072813106864,-0.4165157023853114
AdaBoostRegressor,DummyRegressor,0.6498720747911686,0.6130849980423961,0.6866591515399411,0.001,-0.3683072813106864,-1.018179356101855
Ridge,ElasticNetCV,0.004740954974165157,-0.03204612177460728,0.04152803172293759,0.9,-0.4006614663524025,-0.40540242132656773
Ridge,LinearRegression,0.010647286906302733,-0.0261397898424697,0.04743436365507517,0.9,-0.4006614663524025,-0.41130875325870525
Ridge,KNeighborsRegressor,0.015854236032908864,-0.02093284071586357,0.0526413127816813,0.9,-0.4006614663524025,-0.4165157023853114
Ridge,DummyRegressor,0.6175178897494525,0.5807308130006801,0.654304966498225,0.001,-0.4006614663524025,-1.018179356101855
ElasticNetCV,LinearRegression,0.005906331932137576,-0.03088074481663486,0.04269340868091001,0.9,-0.40540242132656773,-0.41130875325870525
ElasticNetCV,KNeighborsRegressor,0.011113281058743707,-0.025673795690028728,0.04790035780751614,0.9,-0.40540242132656773,-0.4165157023853114
ElasticNetCV,DummyRegressor,0.6127769347752874,0.5759898580265149,0.6495640115240598,0.001,-0.40540242132656773,-1.018179356101855
LinearRegression,KNeighborsRegressor,0.005206949126606131,-0.031580127622166304,0.041994025875378566,0.9,-0.41130875325870525,-0.4165157023853114
LinearRegression,DummyRegressor,0.6068706028431499,0.5700835260943774,0.6436576795919223,0.001,-0.41130875325870525,-1.018179356101855
KNeighborsRegressor,DummyRegressor,0.6016636537165436,0.5648765769677712,0.6384507304653161,0.001,-0.4165157023853114,-1.018179356101855
