mordred,rdkdes,RDK7,RDK6,avalon,FCFP4,RDK5,FCFP6,pubchem,ECFP6,FCFP2,MACCS,ECFP4,ECFP2
1.0,0.9,0.9,0.18195366829643345,0.02801029162332247,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.7413724728287967,0.3106634112867275,0.013253342276312807,0.0067075130297918895,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.9,1.0,0.9,0.7507884009421235,0.10936834622981517,0.06503332341018597,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.18195366829643345,0.7413724728287967,0.9,1.0,0.9,0.8704884079276838,0.7526030662360059,0.08019452422475082,0.016063327205433686,0.002298771052108517,0.001,0.001,0.001,0.001
0.02801029162332247,0.3106634112867275,0.7507884009421235,0.9,1.0,0.9,0.9,0.3729799208135497,0.12176443365546075,0.026267509320295868,0.001,0.001,0.001,0.001
0.001,0.013253342276312807,0.10936834622981517,0.8704884079276838,0.9,1.0,0.9,0.9,0.7759017929748964,0.44707098679042856,0.001,0.001,0.001,0.001
0.001,0.0067075130297918895,0.06503332341018597,0.7526030662360059,0.9,0.9,1.0,0.9,0.8937900359253834,0.568064907153186,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.08019452422475082,0.3729799208135497,0.9,0.9,1.0,0.9,0.9,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.016063327205433686,0.12176443365546075,0.7759017929748964,0.8937900359253834,0.9,1.0,0.9,0.0032821315172245624,0.001,0.001,0.001
0.001,0.001,0.001,0.002298771052108517,0.026267509320295868,0.44707098679042856,0.568064907153186,0.9,0.9,1.0,0.02177642326017759,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0032821315172245624,0.02177642326017759,1.0,0.9,0.9,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,1.0,0.9,0.003571367343650045
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,1.0,0.007005275906311281
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003571367343650045,0.007005275906311281,1.0
