mordred,rdkdes,RDK7,RDK6,FCFP4,RDK5,FCFP6,avalon,ECFP6,ECFP4,pubchem,FCFP2,ECFP2,MACCS
1.0,0.9,0.4142426681040424,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,1.0,0.9,0.06331131130156542,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.4142426681040424,0.9,1.0,0.5640449998126795,0.0297707932582173,0.024577863689421386,0.008800640720020736,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.06331131130156542,0.5640449998126795,1.0,0.9,0.9,0.9,0.5447577316722572,0.011576278005030582,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.0297707932582173,0.9,1.0,0.9,0.9,0.9,0.3797031873892269,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.024577863689421386,0.9,0.9,1.0,0.9,0.9,0.4207163688723592,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.008800640720020736,0.9,0.9,0.9,1.0,0.9,0.6117812900345825,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.5447577316722572,0.9,0.9,0.9,1.0,0.9,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.011576278005030582,0.3797031873892269,0.4207163688723592,0.6117812900345825,0.9,1.0,0.034943736195266695,0.011298183442439491,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.034943736195266695,1.0,0.9,0.9,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011298183442439491,0.9,1.0,0.9,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,0.9,1.0,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.0,0.9
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.9,1.0
