group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
mordred,rdkdes,0.00874997398810809,-0.023801222696536194,0.04130117067275237,0.9,-0.18586554631890628,-0.19461552030701437
mordred,RDK7,0.015261813409929548,-0.017289383274714736,0.04781301009457383,0.9,-0.18586554631890628,-0.20112735972883589
mordred,RDK6,0.027950504645234298,-0.004600692039409986,0.06050170132987858,0.18195366829643345,-0.18586554631890628,-0.21381605096414055
mordred,avalon,0.034318742804390845,0.0017675461197465617,0.06686993948903514,0.02801029162332247,-0.18586554631890628,-0.2201842891232971
mordred,FCFP4,0.04518128456590875,0.01263008788126447,0.07773248125055304,0.001,-0.18586554631890628,-0.23104683088481504
mordred,RDK5,0.04697972434559286,0.014428527660948577,0.07953092103023715,0.001,-0.18586554631890628,-0.23284527066449917
mordred,FCFP6,0.05897255199196938,0.026421355307325096,0.09152374867661367,0.001,-0.18586554631890628,-0.24483809831087563
mordred,pubchem,0.06385506880238556,0.03130387211774128,0.09640626548702985,0.001,-0.18586554631890628,-0.2497206151212918
mordred,ECFP6,0.06882422337221894,0.03627302668757466,0.10137542005686323,0.001,-0.18586554631890628,-0.2546897696911252
mordred,FCFP2,0.10387215814448164,0.07132096145983735,0.13642335482912593,0.001,-0.18586554631890628,-0.2897377044633879
mordred,MACCS,0.1140911236396675,0.08153992695502321,0.1466423203243118,0.001,-0.18586554631890628,-0.2999566699585738
mordred,ECFP4,0.11578174181342704,0.08323054512878275,0.14833293849807133,0.001,-0.18586554631890628,-0.3016472881323333
mordred,ECFP2,0.15389937456421166,0.12134817787956736,0.18645057124885595,0.001,-0.18586554631890628,-0.33976492088311794
rdkdes,RDK7,0.006511839421821458,-0.026039357262822825,0.03906303610646574,0.9,-0.19461552030701437,-0.20112735972883589
rdkdes,RDK6,0.019200530657126208,-0.013350666027518075,0.05175172734177049,0.7413724728287967,-0.19461552030701437,-0.21381605096414055
rdkdes,avalon,0.025568768816282755,-0.006982427868361528,0.05811996550092704,0.3106634112867275,-0.19461552030701437,-0.2201842891232971
rdkdes,FCFP4,0.03643131057780066,0.0038801138931563797,0.06898250726244495,0.013253342276312807,-0.19461552030701437,-0.23104683088481504
rdkdes,RDK5,0.03822975035748477,0.0056785536728404876,0.07078094704212906,0.0067075130297918895,-0.19461552030701437,-0.23284527066449917
rdkdes,FCFP6,0.05022257800386129,0.017671381319217007,0.08277377468850558,0.001,-0.19461552030701437,-0.24483809831087563
rdkdes,pubchem,0.05510509481427747,0.02255389812963319,0.08765629149892176,0.001,-0.19461552030701437,-0.2497206151212918
rdkdes,ECFP6,0.06007424938411085,0.027523052699466567,0.09262544606875514,0.001,-0.19461552030701437,-0.2546897696911252
rdkdes,FCFP2,0.09512218415637355,0.06257098747172926,0.12767338084101784,0.001,-0.19461552030701437,-0.2897377044633879
rdkdes,MACCS,0.10534114965155941,0.07278995296691512,0.1378923463362037,0.001,-0.19461552030701437,-0.2999566699585738
rdkdes,ECFP4,0.10703176782531895,0.07448057114067466,0.13958296450996324,0.001,-0.19461552030701437,-0.3016472881323333
rdkdes,ECFP2,0.14514940057610357,0.11259820389145928,0.17770059726074786,0.001,-0.19461552030701437,-0.33976492088311794
RDK7,RDK6,0.01268869123530475,-0.019862505449339533,0.04523988791994903,0.9,-0.20112735972883589,-0.21381605096414055
