group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
mordred,rdkdes,0.009543224119979488,-0.012344115706010753,0.03143056394596973,0.9,-0.08571111548551602,-0.0952543396054955
mordred,RDK7,0.01619916258427645,-0.0056881772417137905,0.03808650241026669,0.4142426681040424,-0.08571111548551602,-0.10191027806979246
mordred,RDK6,0.030928582304179497,0.009041242478189257,0.05281592213016974,0.001,-0.08571111548551602,-0.11663969778969552
mordred,FCFP4,0.039154965288420926,0.017267625462430686,0.061042305114411166,0.001,-0.08571111548551602,-0.12486608077393693
mordred,RDK5,0.0395299516332593,0.01764261180726906,0.06141729145924954,0.001,-0.08571111548551602,-0.12524106711877528
mordred,FCFP6,0.04143027351425922,0.019542933688268982,0.06331761334024946,0.001,-0.08571111548551602,-0.12714138899977523
mordred,avalon,0.045855838598414286,0.023968498772424046,0.06774317842440453,0.001,-0.08571111548551602,-0.1315669540839303
mordred,ECFP6,0.05566999820742004,0.0337826583814298,0.07755733803341028,0.001,-0.08571111548551602,-0.14138111369293604
mordred,ECFP4,0.07830574332352046,0.05641840349753022,0.1001930831495107,0.001,-0.08571111548551602,-0.16401685880903646
mordred,pubchem,0.08045521706036611,0.05856787723437587,0.10234255688635635,0.001,-0.08571111548551602,-0.16616633254588212
mordred,FCFP2,0.08834523130390819,0.06645789147791795,0.11023257112989843,0.001,-0.08571111548551602,-0.1740563467894242
mordred,ECFP2,0.12290514699842585,0.10101780717243561,0.1447924868244161,0.001,-0.08571111548551602,-0.20861626248394186
mordred,MACCS,0.12765999690338437,0.10577265707739412,0.1495473367293746,0.001,-0.08571111548551602,-0.21337111238890039
rdkdes,RDK7,0.006655938464296962,-0.015231401361693278,0.028543278290287202,0.9,-0.0952543396054955,-0.10191027806979246
rdkdes,RDK6,0.02138535818420001,-0.0005019816417902306,0.04327269801019025,0.06331131130156542,-0.0952543396054955,-0.11663969778969552
rdkdes,FCFP4,0.02961174116844144,0.007724401342451198,0.05149908099443168,0.001,-0.0952543396054955,-0.12486608077393693
rdkdes,RDK5,0.029986727513279812,0.008099387687289572,0.05187406733927005,0.001,-0.0952543396054955,-0.12524106711877528
rdkdes,FCFP6,0.031887049394279735,0.009999709568289494,0.053774389220269975,0.001,-0.0952543396054955,-0.12714138899977523
rdkdes,avalon,0.0363126144784348,0.014425274652444559,0.05819995430442504,0.001,-0.0952543396054955,-0.1315669540839303
rdkdes,ECFP6,0.04612677408744055,0.02423943426145031,0.06801411391343079,0.001,-0.0952543396054955,-0.14138111369293604
rdkdes,ECFP4,0.06876251920354097,0.04687517937755073,0.09064985902953121,0.001,-0.0952543396054955,-0.16401685880903646
rdkdes,pubchem,0.07091199294038662,0.04902465311439638,0.09279933276637686,0.001,-0.0952543396054955,-0.16616633254588212
rdkdes,FCFP2,0.0788020071839287,0.05691466735793846,0.10068934700991894,0.001,-0.0952543396054955,-0.1740563467894242
rdkdes,ECFP2,0.11336192287844636,0.09147458305245612,0.1352492627044366,0.001,-0.0952543396054955,-0.20861626248394186
rdkdes,MACCS,0.11811677278340489,0.09622943295741465,0.14000411260939513,0.001,-0.0952543396054955,-0.21337111238890039
RDK7,RDK6,0.014729419719903047,-0.007157920106087193,0.03661675954589329,0.5640449998126795,-0.10191027806979246,-0.11663969778969552
RDK7,FCFP4,0.022955802704144476,0.001068462878154236,0.044843142530134716,0.0297707932582173,-0.10191027806979246,-0.12486608077393693
RDK7,RDK5,0.02333078904898285,0.00144344922299261,0.04521812887497309,0.024577863689421386,-0.10191027806979246,-0.12524106711877528
RDK7,FCFP6,0.025231110929982772,0.003343771103992532,0.04711845075597301,0.008800640720020736,-0.10191027806979246,-0.12714138899977523
RDK7,avalon,0.029656676014137837,0.007769336188147596,0.05154401584012808,0.001,-0.10191027806979246,-0.1315669540839303
RDK7,ECFP6,0.03947083562314359,0.017583495797153348,0.06135817544913383,0.001,-0.10191027806979246,-0.14138111369293604
RDK7,ECFP4,0.06210658073924401,0.04021924091325377,0.08399392056523425,0.001,-0.10191027806979246,-0.16401685880903646
RDK7,pubchem,0.06425605447608966,0.04236871465009942,0.0861433943020799,0.001,-0.10191027806979246,-0.16616633254588212
RDK7,FCFP2,0.07214606871963174,0.0502587288936415,0.09403340854562198,0.001,-0.10191027806979246,-0.1740563467894242
RDK7,ECFP2,0.1067059844141494,0.08481864458815916,0.12859332424013964,0.001,-0.10191027806979246,-0.20861626248394186
RDK7,MACCS,0.11146083431910793,0.08957349449311769,0.13334817414509817,0.001,-0.10191027806979246,-0.21337111238890039
RDK6,FCFP4,0.008226382984241429,-0.013660956841748811,0.03011372281023167,0.9,-0.11663969778969552,-0.12486608077393693
RDK6,RDK5,0.008601369329079803,-0.013285970496910438,0.030488709155070043,0.9,-0.11663969778969552,-0.12524106711877528
RDK6,FCFP6,0.010501691210079725,-0.011385648615910515,0.032389031036069965,0.9,-0.11663969778969552,-0.12714138899977523
RDK6,avalon,0.01492725629423479,-0.006960083531755451,0.03681459612022503,0.5447577316722572,-0.11663969778969552,-0.1315669540839303
RDK6,ECFP6,0.02474141590324054,0.0028540760772503004,0.04662875572923078,0.011576278005030582,-0.11663969778969552,-0.14138111369293604
RDK6,ECFP4,0.04737716101934096,0.02548982119335072,0.0692645008453312,0.001,-0.11663969778969552,-0.16401685880903646
RDK6,pubchem,0.04952663475618661,0.027639294930196373,0.07141397458217685,0.001,-0.11663969778969552,-0.16616633254588212
RDK6,FCFP2,0.05741664899972869,0.03552930917373845,0.07930398882571893,0.001,-0.11663969778969552,-0.1740563467894242
RDK6,ECFP2,0.09197656469424635,0.07008922486825611,0.11386390452023659,0.001,-0.11663969778969552,-0.20861626248394186
RDK6,MACCS,0.09673141459920488,0.07484407477321464,0.11861875442519512,0.001,-0.11663969778969552,-0.21337111238890039
FCFP4,RDK5,0.0003749863448383739,-0.021512353481151866,0.022262326170828614,0.9,-0.12486608077393693,-0.12524106711877528
FCFP4,FCFP6,0.002275308225838296,-0.019612031600151944,0.024162648051828536,0.9,-0.12486608077393693,-0.12714138899977523
FCFP4,avalon,0.00670087330999336,-0.01518646651599688,0.0285882131359836,0.9,-0.12486608077393693,-0.1315669540839303
FCFP4,ECFP6,0.016515032918999112,-0.005372306906991128,0.03840237274498935,0.3797031873892269,-0.12486608077393693,-0.14138111369293604
FCFP4,ECFP4,0.03915077803509953,0.01726343820910929,0.06103811786108977,0.001,-0.12486608077393693,-0.16401685880903646
FCFP4,pubchem,0.041300251771945184,0.019412911945954944,0.06318759159793542,0.001,-0.12486608077393693,-0.16616633254588212
