group1,group2,meandiff,lower,upper,p-adj,group1_mean,group2_mean
rdkdes,mordred,5.3683465115250684e-05,-0.08582274946852848,0.08593011639875898,0.9,-0.32704384506987566,-0.3270975285349909
rdkdes,RDK7,0.00812025695591001,-0.07775617597773372,0.09399668988955374,0.9,-0.32704384506987566,-0.33516410202578567
rdkdes,RDK6,0.02105827184760406,-0.06481816108603967,0.1069347047812478,0.9,-0.32704384506987566,-0.34810211691747966
rdkdes,avalon,0.029324013225691614,-0.05655241970795212,0.11520044615933535,0.9,-0.32704384506987566,-0.3563678582955673
rdkdes,RDK5,0.04134321458688944,-0.04453321834675429,0.12721964752053316,0.9,-0.32704384506987566,-0.36838705965676516
rdkdes,pubchem,0.056845831201380315,-0.02903060173226342,0.14272226413502404,0.58754826859285,-0.32704384506987566,-0.38388967627125586
rdkdes,FCFP4,0.06297329998580925,-0.022903132947834484,0.14884973291945297,0.43054977436846387,-0.32704384506987566,-0.3900171450556849
rdkdes,MACCS,0.09861875862079478,0.012742325687151043,0.1844951915544385,0.009288742611474388,-0.32704384506987566,-0.4256626036906704
rdkdes,FCFP6,0.10896720436695295,0.023090771433309218,0.19484363730059667,0.0019181051372306746,-0.32704384506987566,-0.4360110494368286
rdkdes,ECFP6,0.12170348664907843,0.035827053715434695,0.20757991958272215,0.001,-0.32704384506987566,-0.4487473317189541
rdkdes,FCFP2,0.1236912982492468,0.03781486531560306,0.20956773118289052,0.001,-0.32704384506987566,-0.45073514331912246
rdkdes,ECFP4,0.1896212532369585,0.10374482030331476,0.2754976861706022,0.001,-0.32704384506987566,-0.5166650983068342
rdkdes,ECFP2,0.223648934554102,0.1377725016204583,0.30952536748774573,0.001,-0.32704384506987566,-0.5506927796239777
mordred,RDK7,0.00806657349079476,-0.07780985944284897,0.0939430064244385,0.9,-0.3270975285349909,-0.33516410202578567
mordred,RDK6,0.02100458838248881,-0.06487184455115493,0.10688102131613254,0.9,-0.3270975285349909,-0.34810211691747966
